invoice_id,company_id,deal_id,invoice_date,product_code,product_name,line_amount_nzd,total_amount_nzd,notes
INV300035,C103936,D200005,2025-09-01,PM,People Management,1604,1604,
INV300036,C100051,D200006,2024-11-01,ADD_ON_TKR,TKR Add-on,0,0,
INV300036,C100051,D200006,2024-11-01,PAYROLL_DIY,Payroll DIY,0,0,addon
INV300037,C100051,D200006,2024-12-01,ADD_ON_TKR,TKR Add-on,0,0,
INV300038,C100051,D200006,2025-01-01,ADD_ON_TKR,TKR Add-on,0,0,
INV300039,C100051,D200006,2025-02-01,ADD_ON_TKR,TKR Add-on,0,0,credit
INV300040,C104398,D200007,2025-08-01,PM,People Management,1120,1120,
INV300041,C104398,D200007,2025-09-01,PM,People Management,1120,1120,
INV300042,C101580,D200008,2025-04-01,ADD_ON_TKR,TKR Add-on,674,674,
INV300043,C103848,D200009,2024-09-01,ADD_ON_TKR,TKR Add-on,812,812,
INV300044,C103848,D200009,2024-10-01,ADD_ON_TKR,TKR Add-on,812,812,
INV300045,C103848,D200009,2024-11-01,ADD_ON_TKR,TKR Add-on,812,812,
INV300046,C103671,D200010,2024-02-01,PM,People Management,504,504,
INV300047,C103671,D200010,2024-03-01,PM,People Management,504,504,
INV300048,C103671,D200010,2024-04-01,PM,People Management,504,504,
INV300049,C103671,D200010,2024-05-01,PM,People Management,504,504,
INV300050,C103671,D200010,2024-06-01,PM,People Management,504,504,
INV300051,C103671,D200010,2024-07-01,PM,People Management,504,571,
INV300051,C103671,D200010,2024-07-01,PAYROLL_DIY,Payroll DIY,67,571,addon
INV300052,C103671,D200010,2024-08-01,PM,People Management,504,504,
INV300053,C103671,D200010,2024-09-01,PM,People Management,504,504,
INV300054,C103671,D200010,2024-10-01,PM,People Management,504,504,
INV300055,C101826,D200011,2025-09-01,ADD_ON_TKR,TKR Add-on,1170,1170,
INV300056,C101826,D200011,2025-10-01,ADD_ON_TKR,TKR Add-on,1170,1170,
INV300057,C101826,D200011,2025-11-01,ADD_ON_TKR,TKR Add-on,0,0,free_trial
INV300058,C101826,D200011,2025-12-01,ADD_ON_TKR,TKR Add-on,1170,1170,
INV300059,C101826,D200011,2026-01-01,ADD_ON_TKR,TKR Add-on,1170,1170,
INV300060,C100566,D200012,2024-08-01,ADD_ON_TKR,TKR Add-on,32,32,
INV300061,C100566,D200012,2024-09-01,ADD_ON_TKR,TKR Add-on,32,36,
INV300061,C100566,D200012,2024-09-01,PM,People Management,4,36,addon
INV300062,C104986,D200013,2024-03-01,PM,People Management,1032,1032,
INV300063,C104986,D200013,2024-04-01,PM,People Management,1032,1032,
INV300064,C104986,D200013,2024-05-01,PM,People Management,1032,1032,
INV300065,C104986,D200013,2024-06-01,PM,People Management,443,443,credit
INV300066,C104986,D200013,2024-07-01,PM,People Management,1032,1032,
INV300067,C104986,D200013,2024-08-01,PM,People Management,1032,1032,
INV300068,C104986,D200013,2024-09-01,PM,People Management,1032,1032,
INV300069,C104986,D200013,2024-10-01,PM,People Management,1032,1032,
INV300070,C104986,D200013,2024-11-01,PM,People Management,1032,1032,
INV300071,C101335,D200014,2024-12-01,PM,People Management,2085,2085,
INV300072,C101335,D200014,2025-01-01,PM,People Management,2085,2085,
INV300073,C101335,D200014,2025-02-01,PM,People Management,2085,2614,
INV300073,C101335,D200014,2025-02-01,PAYROLL_DIY,Payroll DIY,529,2614,addon
INV300074,C101335,D200014,2025-03-01,PM,People Management,2085,2085,
INV300075,C101335,D200014,2025-04-01,PM,People Management,2085,2085,
INV300076,C104773,D200015,2024-03-01,ADD_ON_TKR,TKR Add-on,114,114,
INV300077,C104773,D200015,2024-04-01,ADD_ON_TKR,TKR Add-on,114,114,
INV300078,C104773,D200015,2024-05-01,ADD_ON_TKR,TKR Add-on,114,114,
INV300079,C104773,D200015,2024-06-01,ADD_ON_TKR,TKR Add-on,114,114,
INV300080,C104773,D200015,2024-07-01,ADD_ON_TKR,TKR Add-on,114,136,
INV300080,C104773,D200015,2024-07-01,PM,People Management,22,136,addon
INV300081,C104773,D200015,2024-08-01,ADD_ON_TKR,TKR Add-on,114,137,
INV300081,C104773,D200015,2024-08-01,PAYROLL_MPS,Managed Payroll,23,137,addon
INV300082,C104773,D200015,2024-09-01,ADD_ON_TKR,TKR Add-on,114,114,
INV300083,C104773,D200015,2024-10-01,ADD_ON_TKR,TKR Add-on,114,114,
INV300084,C104773,D200015,2024-11-01,ADD_ON_TKR,TKR Add-on,114,114,
INV300085,C100484,D200016,2024-04-01,PAYROLL_MPS,Managed Payroll,3666,3666,
INV300086,C100484,D200016,2024-05-01,PAYROLL_MPS,Managed Payroll,3666,3666,
INV300087,C100484,D200016,2024-06-01,PAYROLL_MPS,Managed Payroll,3666,3666,
INV300088,C100484,D200016,2024-07-01,PAYROLL_MPS,Managed Payroll,3666,3666,
INV300089,C100484,D200016,2024-08-01,PAYROLL_MPS,Managed Payroll,4394,4394,upgrade
INV300090,C104458,D200017,2024-11-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300091,C104458,D200017,2024-12-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300092,C104458,D200017,2025-01-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300093,C104458,D200017,2025-02-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300094,C104458,D200017,2025-03-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300095,C104458,D200017,2025-04-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300096,C104458,D200017,2025-05-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300097,C104458,D200017,2025-06-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300098,C104458,D200017,2025-07-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300099,C104458,D200017,2025-08-01,PAYROLL_DIY,Payroll DIY,4243,4243,
INV300100,C101789,D200018,2024-09-01,PM,People Management,669,669,
INV300101,C101789,D200018,2024-10-01,PM,People Management,669,669,
INV300102,C101789,D200018,2024-11-01,PM,People Management,669,669,
INV300103,C101789,D200018,2024-12-01,PM,People Management,669,669,
INV300104,C101789,D200018,2025-01-01,PM,People Management,669,669,
INV300105,C101789,D200018,2025-02-01,PM,People Management,669,669,
INV300106,C103629,D200021,2024-07-01,PM,People Management,584,584,
INV300107,C103629,D200021,2024-08-01,PM,People Management,584,584,
INV300108,C103629,D200021,2024-09-01,PM,People Management,584,584,
INV300109,C103629,D200021,2024-10-01,PM,People Management,584,584,
INV300110,C103629,D200021,2024-11-01,PM,People Management,584,584,
INV300111,C103629,D200021,2024-12-01,PM,People Management,584,584,
INV300112,C103006,D200022,2025-02-01,PAYROLL_DIY,Payroll DIY,298,298,
INV300113,C103006,D200022,2025-03-01,PAYROLL_DIY,Payroll DIY,298,298,
INV300114,C101675,D200024,2025-07-01,PAYROLL_MPS,Managed Payroll,3037,3037,
INV300115,C101675,D200024,2025-08-01,PAYROLL_MPS,Managed Payroll,3037,3037,
INV300116,C101675,D200024,2025-09-01,PAYROLL_MPS,Managed Payroll,3037,3037,
INV300117,C101675,D200024,2025-10-01,PAYROLL_MPS,Managed Payroll,3037,3688,
INV300117,C101675,D200024,2025-10-01,PM,People Management,651,3688,addon
INV300118,C101675,D200024,2025-11-01,PAYROLL_MPS,Managed Payroll,3037,3037,
INV300119,C101675,D200024,2025-12-01,PAYROLL_MPS,Managed Payroll,1504,1504,credit
INV300120,C101675,D200024,2026-01-01,PAYROLL_MPS,Managed Payroll,3037,3037,
INV300121,C101675,D200024,2026-02-01,PAYROLL_MPS,Managed Payroll,3037,3037,
INV300122,C101675,D200024,2026-03-01,PAYROLL_MPS,Managed Payroll,3037,3037,
INV300123,C101159,D200025,2025-08-01,PAYROLL_MPS,Managed Payroll,5195,5195,
INV300124,C102330,D200026,2025-02-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300125,C102330,D200026,2025-03-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300126,C102330,D200026,2025-04-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300127,C102330,D200026,2025-05-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300128,C102330,D200026,2025-06-01,PAYROLL_MPS,Managed Payroll,2921,2921,credit
INV300129,C102330,D200026,2025-07-01,PAYROLL_MPS,Managed Payroll,3722,4546,
INV300129,C102330,D200026,2025-07-01,PAYROLL_DIY,Payroll DIY,824,4546,addon
INV300130,C102330,D200026,2025-08-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300131,C102330,D200026,2025-09-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300132,C102330,D200026,2025-10-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300133,C102330,D200026,2025-11-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300134,C102330,D200026,2025-12-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300135,C102330,D200026,2026-01-01,PAYROLL_MPS,Managed Payroll,3722,3722,
INV300136,C104519,D200027,2024-05-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300137,C104519,D200027,2024-06-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300138,C104519,D200027,2024-07-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300139,C104519,D200027,2024-08-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300140,C104519,D200027,2024-09-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300141,C104519,D200027,2024-10-01,PAYROLL_MPS,Managed Payroll,0,0,free_trial
INV300142,C104519,D200027,2024-11-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300143,C104519,D200027,2024-12-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300144,C104519,D200027,2025-01-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300145,C104519,D200027,2025-02-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300146,C104519,D200027,2025-03-01,PAYROLL_MPS,Managed Payroll,5716,5716,upgrade
INV300147,C104519,D200027,2025-04-01,PAYROLL_MPS,Managed Payroll,4058,4058,
INV300148,C103919,D200028,2025-01-01,PAYROLL_MPS,Managed Payroll,1835,1835,
INV300149,C103919,D200028,2025-02-01,PAYROLL_MPS,Managed Payroll,1835,1835,
INV300150,C103919,D200028,2025-03-01,PAYROLL_MPS,Managed Payroll,1835,1835,
INV300151,C103919,D200028,2025-04-01,PAYROLL_MPS,Managed Payroll,1835,1835,
INV300152,C103919,D200028,2025-05-01,PAYROLL_MPS,Managed Payroll,1835,1835,
INV300153,C102478,D200029,2024-12-01,PM,People Management,1185,1185,
INV300154,C102478,D200029,2025-01-01,PM,People Management,863,863,downgrade
INV300155,C102478,D200029,2025-02-01,PM,People Management,1185,1185,
INV300156,C102478,D200029,2025-03-01,PM,People Management,1185,1185,
INV300157,C102478,D200029,2025-04-01,PM,People Management,1185,1185,
INV300158,C102478,D200029,2025-05-01,PM,People Management,1185,1185,
INV300159,C103782,D200030,2025-04-01,PAYROLL_MPS,Managed Payroll,3747,3747,
INV300160,C103782,D200030,2025-05-01,PAYROLL_MPS,Managed Payroll,3747,3747,
INV300161,C103782,D200030,2025-06-01,PAYROLL_MPS,Managed Payroll,3747,3747,
INV300162,C103782,D200030,2025-07-01,PAYROLL_MPS,Managed Payroll,3747,3747,
INV300163,C103782,D200030,2025-08-01,PAYROLL_MPS,Managed Payroll,3747,3747,
INV300164,C103782,D200030,2025-09-01,PAYROLL_MPS,Managed Payroll,3747,3747,
INV300165,C101669,D200031,2025-07-01,PAYROLL_DIY,Payroll DIY,1194,1194,
INV300166,C101669,D200031,2025-08-01,PAYROLL_DIY,Payroll DIY,1194,1194,
INV300167,C101669,D200031,2025-09-01,PAYROLL_DIY,Payroll DIY,1194,1194,
INV300168,C101669,D200031,2025-10-01,PAYROLL_DIY,Payroll DIY,1194,1194,
INV300169,C101669,D200031,2025-11-01,PAYROLL_DIY,Payroll DIY,1194,1194,
INV300170,C101669,D200031,2025-12-01,PAYROLL_DIY,Payroll DIY,1194,1194,
INV300171,C100295,D200033,2025-10-01,PAYROLL_MPS,Managed Payroll,5251,5251,
INV300172,C100295,D200033,2025-11-01,PAYROLL_MPS,Managed Payroll,5251,5251,
INV300173,C101241,D200034,2025-04-01,ADD_ON_TKR,TKR Add-on,748,748,
INV300174,C101241,D200034,2025-05-01,ADD_ON_TKR,TKR Add-on,748,748,
INV300175,C100247,D200036,2024-06-01,PAYROLL_MPS,Managed Payroll,2173,2173,
INV300176,C100247,D200036,2024-07-01,PAYROLL_MPS,Managed Payroll,2173,2173,
INV300177,C100247,D200036,2024-08-01,PAYROLL_MPS,Managed Payroll,2173,2590,
INV300177,C100247,D200036,2024-08-01,PM,People Management,417,2590,addon
INV300178,C100247,D200036,2024-09-01,PAYROLL_MPS,Managed Payroll,2173,2173,
INV300179,C100247,D200036,2024-10-01,PAYROLL_MPS,Managed Payroll,1824,1824,downgrade
INV300180,C100247,D200036,2024-11-01,PAYROLL_MPS,Managed Payroll,2173,2173,
INV300181,C100247,D200036,2024-12-01,PAYROLL_MPS,Managed Payroll,2173,2173,
INV300182,C100247,D200036,2025-01-01,PAYROLL_MPS,Managed Payroll,2173,2173,
INV300183,C100247,D200036,2025-02-01,PAYROLL_MPS,Managed Payroll,2173,2173,
INV300184,C103889,D200037,2025-04-01,ADD_ON_TKR,TKR Add-on,566,566,
INV300185,C103889,D200037,2025-05-01,ADD_ON_TKR,TKR Add-on,566,566,
INV300186,C103889,D200037,2025-06-01,ADD_ON_TKR,TKR Add-on,833,833,upgrade
INV300187,C103091,D200038,2024-08-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300188,C103091,D200038,2024-09-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300189,C103091,D200038,2024-10-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300190,C103091,D200038,2024-11-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300191,C103091,D200038,2024-12-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300192,C103091,D200038,2025-01-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300193,C103091,D200038,2025-02-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300194,C103091,D200038,2025-03-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300195,C103091,D200038,2025-04-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300196,C103091,D200038,2025-05-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300197,C103091,D200038,2025-06-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300198,C103091,D200038,2025-07-01,PAYROLL_MPS,Managed Payroll,1952,1952,
INV300199,C103600,D200039,2025-05-01,ADD_ON_TKR,TKR Add-on,187,187,
INV300200,C103600,D200039,2025-06-01,ADD_ON_TKR,TKR Add-on,187,187,
INV300201,C103600,D200039,2025-07-01,ADD_ON_TKR,TKR Add-on,187,187,
INV300202,C103600,D200039,2025-08-01,ADD_ON_TKR,TKR Add-on,187,187,
INV300203,C103600,D200039,2025-09-01,ADD_ON_TKR,TKR Add-on,187,187,
INV300204,C103600,D200039,2025-10-01,ADD_ON_TKR,TKR Add-on,187,187,
INV300205,C103600,D200039,2025-11-01,ADD_ON_TKR,TKR Add-on,187,187,
INV300206,C104976,D200040,2025-01-01,ADD_ON_TKR,TKR Add-on,1329,1329,
INV300207,C100885,D200041,2025-01-01,PAYROLL_DIY,Payroll DIY,3642,4191,
INV300207,C100885,D200041,2025-01-01,ADD_ON_TKR,TKR Add-on,549,4191,addon
INV300208,C100885,D200041,2025-02-01,PAYROLL_DIY,Payroll DIY,3642,3642,
INV300209,C100885,D200041,2025-03-01,PAYROLL_DIY,Payroll DIY,3642,3642,
INV300210,C100885,D200041,2025-04-01,PAYROLL_DIY,Payroll DIY,3642,3642,
INV300211,C100885,D200041,2025-05-01,PAYROLL_DIY,Payroll DIY,2791,2791,credit
INV300212,C100885,D200041,2025-06-01,PAYROLL_DIY,Payroll DIY,3642,3642,
INV300213,C100885,D200041,2025-07-01,PAYROLL_DIY,Payroll DIY,3642,3642,
INV300214,C100885,D200041,2025-08-01,PAYROLL_DIY,Payroll DIY,3642,3642,
INV300215,C100885,D200041,2025-09-01,PAYROLL_DIY,Payroll DIY,3642,3642,
INV300216,C101765,D200042,2024-09-01,ADD_ON_TKR,TKR Add-on,1153,1153,
INV300217,C101765,D200042,2024-10-01,ADD_ON_TKR,TKR Add-on,1153,1153,
INV300218,C101765,D200042,2024-11-01,ADD_ON_TKR,TKR Add-on,1153,1325,
INV300218,C101765,D200042,2024-11-01,PM,People Management,172,1325,addon
INV300219,C101765,D200042,2024-12-01,ADD_ON_TKR,TKR Add-on,1153,1153,
INV300220,C101765,D200042,2025-01-01,ADD_ON_TKR,TKR Add-on,1153,1355,
INV300220,C101765,D200042,2025-01-01,PAYROLL_MPS,Managed Payroll,202,1355,addon
INV300221,C101765,D200042,2025-02-01,ADD_ON_TKR,TKR Add-on,1153,1153,
INV300222,C101765,D200042,2025-03-01,ADD_ON_TKR,TKR Add-on,1153,1153,
INV300223,C101765,D200042,2025-04-01,ADD_ON_TKR,TKR Add-on,1153,1153,
INV300224,C101765,D200042,2025-05-01,ADD_ON_TKR,TKR Add-on,1153,1153,
INV300225,C101401,D200043,2025-01-01,PAYROLL_DIY,Payroll DIY,1064,1064,
INV300226,C101401,D200043,2025-02-01,PAYROLL_DIY,Payroll DIY,1064,1064,
INV300227,C101401,D200043,2025-03-01,PAYROLL_DIY,Payroll DIY,1064,1064,
INV300228,C102546,D200045,2025-08-01,PAYROLL_MPS,Managed Payroll,2372,2372,
INV300229,C102546,D200045,2025-09-01,PAYROLL_MPS,Managed Payroll,2372,2372,
INV300230,C102546,D200045,2025-10-01,PAYROLL_MPS,Managed Payroll,2372,2372,
INV300231,C102546,D200045,2025-11-01,PAYROLL_MPS,Managed Payroll,2372,2372,
INV300232,C102546,D200045,2025-12-01,PAYROLL_MPS,Managed Payroll,2372,2372,
INV300233,C102546,D200045,2026-01-01,PAYROLL_MPS,Managed Payroll,2372,2372,
INV300234,C102546,D200045,2026-02-01,PAYROLL_MPS,Managed Payroll,2372,2372,
INV300235,C102546,D200045,2026-03-01,PAYROLL_MPS,Managed Payroll,2372,2372,
INV300236,C102546,D200045,2026-04-01,PAYROLL_MPS,Managed Payroll,2372,2372,
INV300237,C103247,D200046,2024-09-01,PAYROLL_DIY,Payroll DIY,685,685,
INV300238,C103247,D200046,2024-10-01,PAYROLL_DIY,Payroll DIY,685,685,
INV300239,C103247,D200046,2024-11-01,PAYROLL_DIY,Payroll DIY,685,685,
INV300240,C103247,D200046,2024-12-01,PAYROLL_DIY,Payroll DIY,685,685,
INV300241,C103247,D200046,2025-01-01,PAYROLL_DIY,Payroll DIY,685,685,
INV300242,C103528,D200047,2024-05-01,PM,People Management,1369,1369,
INV300243,C103528,D200047,2024-06-01,PM,People Management,1369,1369,
INV300244,C103528,D200047,2024-07-01,PM,People Management,1907,1907,upgrade
INV300245,C103528,D200047,2024-08-01,PM,People Management,1369,1369,
INV300246,C103528,D200047,2024-09-01,PM,People Management,1369,1369,
INV300247,C100865,D200048,2025-06-01,ADD_ON_TKR,TKR Add-on,608,608,
INV300248,C100865,D200048,2025-07-01,ADD_ON_TKR,TKR Add-on,423,586,downgrade
INV300248,C100865,D200048,2025-07-01,PAYROLL_MPS,Managed Payroll,163,586,addon
INV300249,C100865,D200048,2025-08-01,ADD_ON_TKR,TKR Add-on,608,608,
INV300250,C100865,D200048,2025-09-01,ADD_ON_TKR,TKR Add-on,608,608,
INV300251,C100865,D200048,2025-10-01,ADD_ON_TKR,TKR Add-on,608,608,
INV300252,C100865,D200048,2025-11-01,ADD_ON_TKR,TKR Add-on,608,608,
INV300253,C100651,D200049,2025-04-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300254,C100651,D200049,2025-05-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300255,C100651,D200049,2025-06-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300256,C100651,D200049,2025-07-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300257,C100651,D200049,2025-08-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300258,C100651,D200049,2025-09-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300259,C100651,D200049,2025-10-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300260,C100651,D200049,2025-11-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300261,C100651,D200049,2025-12-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300262,C100651,D200049,2026-01-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300263,C100651,D200049,2026-02-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300264,C100651,D200049,2026-03-01,PAYROLL_DIY,Payroll DIY,1905,1905,
INV300265,C100835,D200050,2024-12-01,PAYROLL_MPS,Managed Payroll,1444,1444,
INV300266,C100835,D200050,2025-01-01,PAYROLL_MPS,Managed Payroll,1444,1444,
INV300267,C100835,D200050,2025-02-01,PAYROLL_MPS,Managed Payroll,1444,1444,
INV300268,C100835,D200050,2025-03-01,PAYROLL_MPS,Managed Payroll,1444,1444,
INV300269,C100835,D200050,2025-04-01,PAYROLL_MPS,Managed Payroll,1444,1444,
INV300270,C102208,D200051,2025-08-01,PM,People Management,1692,1692,
INV300271,C101896,D200052,2025-08-01,PAYROLL_DIY,Payroll DIY,745,745,credit
INV300272,C101896,D200052,2025-09-01,PAYROLL_DIY,Payroll DIY,1220,1220,
INV300273,C101896,D200052,2025-10-01,PAYROLL_DIY,Payroll DIY,1220,1220,
INV300274,C101896,D200052,2025-11-01,PAYROLL_DIY,Payroll DIY,1220,1220,
INV300275,C103360,D200053,2025-05-01,PAYROLL_DIY,Payroll DIY,1235,1235,
INV300276,C103360,D200053,2025-06-01,PAYROLL_DIY,Payroll DIY,1235,1378,
INV300276,C103360,D200053,2025-06-01,PAYROLL_MPS,Managed Payroll,143,1378,addon
INV300277,C103360,D200053,2025-07-01,PAYROLL_DIY,Payroll DIY,1235,1235,
INV300278,C103360,D200053,2025-08-01,PAYROLL_DIY,Payroll DIY,1235,1235,
INV300279,C103360,D200053,2025-09-01,PAYROLL_DIY,Payroll DIY,1235,1235,
INV300280,C103360,D200053,2025-10-01,PAYROLL_DIY,Payroll DIY,1235,1235,
INV300281,C101806,D200054,2025-09-01,ADD_ON_TKR,TKR Add-on,1485,1485,
INV300282,C101806,D200054,2025-10-01,ADD_ON_TKR,TKR Add-on,1485,1485,
INV300283,C101806,D200054,2025-11-01,ADD_ON_TKR,TKR Add-on,1485,1485,
INV300284,C101806,D200054,2025-12-01,ADD_ON_TKR,TKR Add-on,1485,1485,
INV300285,C101806,D200054,2026-01-01,ADD_ON_TKR,TKR Add-on,1485,1485,
INV300286,C101806,D200054,2026-02-01,ADD_ON_TKR,TKR Add-on,1485,1485,
INV300287,C101806,D200054,2026-03-01,ADD_ON_TKR,TKR Add-on,1485,1485,
INV300288,C101806,D200054,2026-04-01,ADD_ON_TKR,TKR Add-on,1485,1485,
INV300289,C104344,D200055,2024-12-01,PAYROLL_DIY,Payroll DIY,0,0,
INV300290,C104344,D200055,2025-01-01,PAYROLL_DIY,Payroll DIY,0,0,
INV300291,C104344,D200055,2025-02-01,PAYROLL_DIY,Payroll DIY,0,0,
INV300292,C104344,D200055,2025-03-01,PAYROLL_DIY,Payroll DIY,0,0,
INV300293,C104344,D200055,2025-04-01,PAYROLL_DIY,Payroll DIY,0,0,
INV300294,C104344,D200055,2025-05-01,PAYROLL_DIY,Payroll DIY,0,0,
INV300295,C104952,D200056,2024-06-01,PAYROLL_DIY,Payroll DIY,2790,2790,
INV300296,C104952,D200056,2024-07-01,PAYROLL_DIY,Payroll DIY,2790,2790,
INV300297,C104952,D200056,2024-08-01,PAYROLL_DIY,Payroll DIY,2790,2790,
INV300298,C102709,D200058,2025-05-01,PAYROLL_DIY,Payroll DIY,1168,1168,
INV300299,C102709,D200058,2025-06-01,PAYROLL_DIY,Payroll DIY,1168,1168,
INV300300,C102709,D200058,2025-07-01,PAYROLL_DIY,Payroll DIY,723,723,credit
INV300301,C102709,D200058,2025-08-01,PAYROLL_DIY,Payroll DIY,1424,1424,upgrade
INV300302,C102709,D200058,2025-09-01,PAYROLL_DIY,Payroll DIY,1168,1168,
INV300303,C102709,D200058,2025-10-01,PAYROLL_DIY,Payroll DIY,1168,1168,
INV300304,C101132,D200059,2024-10-01,ADD_ON_TKR,TKR Add-on,1646,1646,
INV300305,C101132,D200059,2024-11-01,ADD_ON_TKR,TKR Add-on,1646,1646,
