deal_id,company_id,deal_created_date,deal_close_date,status,product_code,product_name,channel,owner,deal_mrr,reopened_flag,company_name,industry,employee_count,is_partner,first_invoice_date
D200037,C103889,4/02/2025,9/04/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,567,0,Ohomairangi Group,Healthcare,90,0,1/04/2025
D200038,C103091,1/08/2024,5/08/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,unassigned,1832,0,Duncan Air Group,Construction,70,0,1/08/2024
D200039,C103600,1/02/2024,,Open,ADD_ON_TKR,TKR Add-on,Direct,awong,159,0,Alpha Partners,Education,1,0,1/05/2025
D200040,C104976,14/10/2024,30/12/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,1244,0,Wenita Holdings,Manufacturing,4,1,1/01/2025
D200041,C100885,21/11/2024,23/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,2962,0,Rimu Partners,Software,27,0,1/01/2025
D200042,C101765,1/02/2024,,Open,ADD_ON_TKR,TKR Add-on,Partners,dt,1167,0,Ohomairangi Partners,Education,57,0,1/09/2024
D200043,C101401,6/09/2024,22/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,shao,1039,0,Beta Trust,Construction,49,0,1/01/2025
D200044,C103062,11/12/2024,26/01/2025,Closed Lost,PM,People Management,Direct,shao,643,0,Ohomairangi Tui Ltd,Manufacturing,1,0,
D200045,C102546,15/06/2025,,Open,PAYROLL_MPS,Managed Payroll,Partners,mkoenen,3189,0,Duncan Air Partners,Software,8,0,1/08/2025
D200046,C103247,16/07/2024,16/08/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,790,0,Pivot Trust,Construction,98,0,1/09/2024
D200047,C103528,6/05/2025,,Open,PM,People Management,Direct,mkoenen,1471,0,Atlas Alpha Trust,Retail,77,0,1/05/2024
D200048,C100865,13/04/2025,5/05/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,760,0,Kea Partners,Retail,1,0,1/06/2025
D200049,C100651,13/01/2025,24/03/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,1792,0,Beta Limited,Accounting,7,0,1/04/2025
D200050,C100835,10/11/2024,14/11/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,awong,1382,0,Duncan Air Group,Legal,22,1,1/12/2024
D200051,C102208,23/01/2025,,Open,PM,People Management,Direct,unassigned,1787,0,Rimu Group,Education,21,0,1/08/2025
D200052,C101896,26/05/2025,30/06/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,1271,0,Harbour Ohomairangi Limited,Accounting,1,0,1/08/2025
D200053,C103360,10/03/2025,9/04/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,1223,0,Duncan Air Wenita Holdings,Healthcare,12,0,1/05/2025
D200054,C101806,19/06/2025,3/09/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,1448,0,Harbour Pivot Group,Software,1,0,1/09/2025
D200055,C104344,25/08/2024,18/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,0,0,Pivot Holdings,Accounting,52,0,1/12/2024
D200056,C104952,28/03/2024,14/05/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,2248,0,Tui Rimu Holdings,Retail,63,0,1/06/2024
D200057,C104322,14/09/2024,9/10/2024,Closed Lost,ADD_ON_TKR,TKR Add-on,Partners,nobody,37,0,Pivot Services,Healthcare,1,1,
D200058,C102709,9/12/2024,,Open,PAYROLL_DIY,Payroll DIY,Partners,shao,1472,0,Alpha Holdings,Legal,18,0,1/05/2025
D200059,C101132,27/03/2024,,Open,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,1448,0,Harbour Kea Group,Retail,76,0,1/10/2024
D200060,C100919,28/02/2025,,Open,PAYROLL_DIY,Payroll DIY,Partners,shao,1414,0,Beta Atlas Ltd,Healthcare,110,0,1/04/2024
D200061,C101918,16/11/2024,8/01/2025,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,shao,2736,0,Alpha Summit Services,Retail,20,0,
D200062,C100746,17/02/2024,14/04/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dt,1286,0,Tui Trust,Retail,20,0,1/05/2024
D200063,C100613,2/09/2024,7/10/2024,Closed Won,PM,People Management,Partners,awong,434,0,Ohomairangi Holdings,Software,1,0,1/11/2024
D200064,C102008,16/11/2024,6/12/2024,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,2249,0,Harbour Ohomairangi Limited,Software,28,0,
D200065,C104544,7/05/2024,14/05/2024,Closed Lost,PAYROLL_MPS,Managed Payroll,Partners,dinkster,4548,0,Rimu Partners,Retail,46,0,
D200066,C100678,15/12/2024,1/01/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,-1509,0,Eurotec Partners,Retail,1,1,1/02/2025
D200067,C100989,28/04/2024,,Open,PAYROLL_DIY,Payroll DIY,Direct,dinkster,1603,0,Nimbus Partners,Retail,26,0,1/05/2024
D200068,C100844,31/05/2025,13/08/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,1124,0,Summit Services,Legal,67,0,1/08/2025
D200069,C104477,10/12/2024,,Open,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,2458,0,Summit Kea Partners,Legal,35,0,1/06/2024
D200070,C104059,14/04/2025,14/06/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,2116,0,Kea Holdings,Healthcare,31,0,1/06/2025
D200071,C104510,16/06/2024,,Open,ADD_ON_TKR,TKR Add-on,Partners,dt,895,0,Eurotec Wenita Holdings,Manufacturing,33,0,1/11/2024
D200072,C100159,31/05/2024,17/07/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dt,5860,0,Tui Ltd,Retail,63,0,1/07/2024
D200073,C100888,2/01/2024,,Open,PAYROLL_MPS,Managed Payroll,Partners,awong,4895,0,Pivot Limited,Accounting,21,0,1/09/2024
D200074,C100382,8/09/2024,16/09/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dt,1022,0,Beta Kea Co.,Legal,48,0,1/10/2024
D200075,C104217,28/08/2024,2/10/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,mkoenen,651,0,Alpha Trust,Legal,30,1,1/11/2024
D200076,C103357,21/12/2024,20/02/2025,Closed Won,PM,People Management,Partners,dinkster,660,0,Wenita Wenita Services,Healthcare,44,0,1/03/2025
D200077,C101312,29/05/2025,13/08/2025,Closed Won,PM,People Management,Partners,mkoenen_tmp,1466,0,Ohomairangi Rimu Co.,Education,3,0,1/09/2025
D200078,C101084,1/06/2024,27/07/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,5042,0,Harbour Services,Software,43,0,1/08/2024
D200079,C101407,15/01/2025,,Open,PAYROLL_MPS,Managed Payroll,Direct,awong,8167,0,Alpha Services,Retail,1,0,1/09/2024
D200080,C102112,10/02/2024,11/03/2024,Closed Lost,PM,People Management,Direct,mkoenen,1599,0,Tui Partners,Legal,1,0,
D200081,C101025,16/12/2024,11/01/2025,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,awong,1159,0,Kauri Group,Education,15,0,
D200082,C103343,1/08/2024,4/10/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,shao,433,0,Kauri Services,Construction,1,0,1/11/2024
D200083,C101891,21/04/2025,20/05/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,shao,723,0,Duncan Air Partners,Manufacturing,40,0,1/05/2025
D200084,C103862,24/02/2024,23/05/2024,Closed Won,PM,People Management,Direct,unassigned,2166,0,Summit Limited,Legal,4,0,1/06/2024
D200085,C101610,6/05/2024,14/07/2024,Closed Lost,PAYROLL_MPS,Managed Payroll,Partners,dinkster,4934,0,Harbour Partners,Legal,39,0,
D200086,C103988,13/01/2024,11/02/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,331,0,Summit Limited,Software,1,0,1/03/2024
D200087,C104680,29/01/2025,23/04/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,323,0,Eurotec Atlas Group,Legal,40,0,1/05/2025
D200088,C103011,16/05/2025,25/07/2025,Closed Lost,PAYROLL_MPS,Managed Payroll,Partners,dt,5601,0,Kauri Limited,Healthcare,1,1,
D200089,C101623,14/03/2025,30/04/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,unassigned,4468,0,Nimbus Co.,Healthcare,65,0,1/05/2025
D200090,C101810,12/04/2025,29/06/2025,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1037,0,Harbour Holdings,Manufacturing,71,0,
D200091,C104764,6/03/2025,,Open,PM,People Management,Direct,unassigned,1251,0,Harbour Trust,Construction,41,0,1/06/2024
D200092,C103558,20/06/2025,14/09/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,784,0,Duncan Air Services,Healthcare,22,0,1/10/2025
D200093,C104357,14/03/2025,25/05/2025,Closed Won,PM,People Management,Direct,nobody,1224,0,Tui Wenita Co.,Retail,2,0,1/06/2025
D200094,C101383,5/06/2024,21/07/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,615,0,Beta Partners,Healthcare,32,0,1/08/2024
D200095,C104886,22/10/2024,2/01/2025,Closed Won,PM,People Management,Partners,unassigned,643,0,Atlas Trust,Manufacturing,15,1,1/01/2025
D200096,C103849,29/02/2024,28/03/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,1029,0,Summit Ltd,Retail,23,0,1/05/2024
D200097,C103080,14/08/2024,5/09/2024,Closed Lost,PM,People Management,Partners,unassigned,365,0,Atlas Limited,Software,90,0,
D200098,C101675,18/10/2024,,Open,ADD_ON_TKR,TKR Add-on,Partners,dt,443,0,Tui Limited,Construction,31,0,1/03/2024
D200099,C100273,11/01/2024,18/03/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,978,0,Atlas Limited,Software,1,0,1/04/2024
D200100,C103386,12/11/2024,9/01/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,5053,0,Rimu Services,Construction,39,1,1/01/2025
D200101,C100190,21/07/2024,13/09/2024,Closed Won,PM,People Management,Partners,unassigned,1102,0,Harbour Partners,Software,1,0,1/09/2024
D200102,C102227,4/03/2025,17/05/2025,Closed Won,PM,People Management,Partners,mkoenen,1932,0,Beta Partners,Construction,26,1,1/06/2025
D200103,C102667,13/05/2024,26/07/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,1579,0,Harbour Trust,Manufacturing,6,0,1/08/2024
D200104,C102481,5/04/2025,20/06/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dinkster,7941,0,Pivot Limited,Construction,65,0,1/07/2025
D200105,C103236,10/06/2024,18/06/2024,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,awong,5246,0,Kea Co.,Education,1,0,
D200106,C102297,6/02/2025,,Open,PAYROLL_MPS,Managed Payroll,Partners,shao,2579,0,Ohomairangi Ltd,Manufacturing,1,0,1/06/2024
D200107,C100918,10/07/2024,,Open,PM,People Management,Partners,awong,1771,0,Ohomairangi Partners,Retail,83,0,1/07/2024
D200108,C100368,2/08/2024,11/09/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,681,0,Ohomairangi Holdings,Construction,23,0,1/10/2024
D200109,C103525,5/05/2024,16/05/2024,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,shao,727,0,Pivot Partners,Construction,48,0,
D200110,C104706,18/02/2025,4/04/2025,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1524,0,Duncan Air Co.,Construction,8,0,
D200111,C101815,8/08/2024,25/08/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,997,0,Eurotec Beta Holdings,Manufacturing,41,0,1/08/2024
D200112,C100212,20/06/2024,21/08/2024,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,awong,7953,0,Rimu Partners,Healthcare,62,0,
D200113,C100775,4/04/2024,,Open,PAYROLL_DIY,Payroll DIY,Partners,unassigned,2539,0,Nimbus Limited,Retail,56,0,1/03/2025
D200114,C104738,28/04/2024,19/06/2024,Closed Won,PM,People Management,Direct,dinkster,735,0,Pivot Ltd,Manufacturing,53,0,1/06/2024
D200115,C104360,24/03/2025,19/05/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,nobody,221,0,Tui Nimbus Services,Construction,92,0,1/06/2025
D200116,C101671,15/06/2024,,Open,PM,People Management,Direct,mkoenen,997,0,Kauri Rimu Partners,Retail,1,0,1/10/2024
D200117,C101150,17/03/2024,,Open,PM,People Management,Partners,shao,1052,0,Rimu Kauri Ltd,Software,21,0,1/05/2024
D200118,C102172,12/02/2024,11/03/2024,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,665,0,Duncan Air Trust,Retail,13,0,
D200119,C103183,13/02/2025,13/05/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,unassigned,5189,0,Nimbus Trust,Legal,1,0,1/06/2025
D200120,C103035,16/03/2024,18/05/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,1959,0,Beta Co.,Retail,82,0,1/06/2024
D200121,C101884,14/08/2024,7/09/2024,Closed Won,PM,People Management,Partners,dt,1010,0,Harbour Services,Legal,11,0,1/10/2024
D200122,C103515,3/06/2024,10/07/2024,Closed Won,PM,People Management,Partners,dt,283,0,Alpha Holdings,Healthcare,75,0,1/07/2024
D200123,C103169,20/04/2024,11/06/2024,Closed Lost,PAYROLL_DIY,Payroll DIY,Partners,dinkster,729,0,Duncan Air Eurotec Group,Accounting,8,0,
D200124,C101778,8/03/2025,24/03/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,835,0,Duncan Air Trust,Software,1,0,1/04/2025
D200125,C104432,18/03/2024,21/05/2024,Closed Lost,PAYROLL_DIY,Payroll DIY,Partners,awong,1117,0,Duncan Air Rimu Trust,Construction,50,0,
D200126,C102667,26/09/2024,11/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,1696,0,Harbour Trust,Manufacturing,6,0,1/11/2024
D200127,C103741,25/09/2024,20/11/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,263,0,Ohomairangi Atlas Group,Retail,54,0,1/12/2024
D200128,C101172,17/01/2024,3/03/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,543,0,Pivot Alpha Limited,Software,33,0,1/04/2024
D200129,C100701,19/12/2024,1/01/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,300,0,Ohomairangi Pivot Co.,Legal,38,0,1/01/2025
D200130,C103074,15/06/2025,17/06/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,3386,0,Beta Trust,Accounting,19,0,1/07/2025
D200131,C103268,21/03/2025,15/04/2025,Closed Won,PM,People Management,Direct,dinkster,1397,0,Harbour Services,Healthcare,12,0,1/04/2025
D200132,C103383,9/05/2025,25/05/2025,Closed Lost,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,193,0,Tui Co.,Manufacturing,1,0,
D200133,C102981,24/05/2025,,Open,PAYROLL_MPS,Managed Payroll,Direct,unassigned,4378,0,Atlas Duncan Air Partners,Accounting,15,0,1/05/2025
D200134,C102786,4/06/2024,24/07/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dt,2205,0,Kauri Ltd,Education,6,1,1/08/2024
D200135,C102965,27/02/2024,18/03/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,1140,0,Nimbus Holdings,Manufacturing,20,0,1/04/2024
D200136,C102229,15/01/2025,,Open,PAYROLL_DIY,Payroll DIY,Partners,dt,1678,0,Beta Ohomairangi Limited,Accounting,34,0,1/09/2025
D200137,C101012,7/01/2024,26/01/2024,Closed Lost,PM,People Management,Partners,unassigned,1531,0,Pivot Co.,Manufacturing,52,0,
D200138,C100615,14/10/2024,,Open,ADD_ON_TKR,TKR Add-on,Direct,dinkster,1052,0,Kea Kea Trust,Legal,10,0,1/04/2024
D200139,C104847,3/06/2024,12/07/2024,Closed Lost,PAYROLL_DIY,Payroll DIY,Direct,awong,3435,0,Harbour Group,Accounting,56,0,
D200140,C101777,18/05/2025,30/07/2025,Closed Lost,PAYROLL_DIY,Payroll DIY,Direct,nobody,1428,0,Duncan Air Ltd,Construction,1,0,
D200141,C103345,18/12/2024,,Open,ADD_ON_TKR,TKR Add-on,Direct,unassigned,443,0,Eurotec Ltd,Education,1,0,1/09/2025
D200142,C102841,10/05/2024,8/08/2024,Closed Won,PM,People Management,Direct,shao,1352,0,Eurotec Holdings,Manufacturing,62,0,1/09/2024
D200143,C102637,26/07/2024,4/08/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,596,0,Pivot Holdings,Legal,1,0,1/08/2024
D200144,C104319,10/07/2024,9/09/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster,2708,0,Beta Partners,Retail,1,0,1/10/2024
D200145,C104056,2/11/2024,31/01/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1067,0,Kauri Limited,Legal,15,0,1/02/2025
D200146,C101762,3/02/2025,22/04/2025,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,dinkster,3453,0,Alpha Beta Ltd,Healthcare,2,0,
D200147,C102421,25/03/2024,28/04/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,unassigned,4770,0,Alpha Pivot Holdings,Legal,24,1,1/06/2024
D200148,C101166,26/01/2025,,Open,PM,People Management,Partners,dinkster,2170,0,Beta Co.,Legal,1,0,1/09/2025
D200149,C101003,6/01/2025,7/02/2025,Closed Won,PM,People Management,Partners,shao,1649,0,Summit Atlas Trust,Healthcare,43,0,1/02/2025
D200150,C101687,5/11/2024,14/12/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,1047,0,Atlas Eurotec Ltd,Legal,41,0,1/12/2024
D200151,C100756,2/05/2025,9/05/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster,1127,0,Beta Summit Trust,Legal,10,1,1/05/2025
D200152,C101798,11/06/2025,18/07/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,1959,0,Nimbus Co.,Construction,46,1,1/08/2025
D200153,C100112,23/10/2024,19/01/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,3011,0,Tui Wenita Group,Software,28,0,1/02/2025
D200154,C103795,13/11/2024,16/01/2025,Closed Won,PM,People Management,Direct,nobody,0,1,Ohomairangi Trust,Retail,71,1,1/02/2025
D200155,C103680,21/01/2025,,Open,PAYROLL_MPS,Managed Payroll,Direct,dt,8125,0,Nimbus Duncan Air Services,Retail,1,0,1/09/2024
D200156,C104413,10/05/2024,7/06/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,407,0,Summit Tui Services,Education,37,0,1/07/2024
D200157,C100090,2/11/2024,19/12/2024,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,unassigned,954,0,Harbour Trust,Retail,24,1,
D200158,C100265,6/10/2024,5/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,2026,0,Kauri Summit Co.,Construction,47,0,1/12/2024
D200159,C104607,3/04/2024,9/06/2024,Closed Won,PM,People Management,Partners,dinkster,1725,0,Kea Limited,Healthcare,13,0,1/07/2024
D200160,C101925,23/04/2025,5/05/2025,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,dinkster,859,0,Rimu Harbour Limited,Education,7,0,
D200161,C100681,24/02/2025,10/05/2025,Closed Lost,PM,People Management,Partners,unassigned,1776,0,Pivot Trust,Retail,1,0,
D200162,C102113,19/06/2024,21/07/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,awong,1012,0,Kea Services,Manufacturing,87,0,1/08/2024
D200163,C103778,13/03/2025,13/05/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dt,1373,0,Harbour Rimu Partners,Retail,64,0,1/06/2025
D200164,C100731,12/05/2025,28/07/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,shao,2921,0,Wenita Services,Legal,53,0,1/08/2025
D200165,C104025,13/05/2024,30/07/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,1966,0,Kauri Partners,Education,15,0,1/09/2024
D200166,C100870,8/12/2024,9/12/2024,Closed Won,PM,People Management,Partners,shao,1194,0,Kea Group,Software,1,0,1/12/2024
D200167,C100104,30/03/2024,6/06/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,1355,0,Tui Ltd,Education,66,0,1/06/2024
D200168,C102554,1/04/2024,2/06/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,1920,0,Pivot Partners,Software,81,0,1/06/2024
D200169,C103230,1/05/2024,25/05/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,6317,0,Atlas Pivot Holdings,Legal,51,0,1/07/2024
D200170,C104649,25/03/2025,,Open,PM,People Management,Partners,dt,1682,0,Eurotec Tui Group,Manufacturing,1,0,1/05/2024
D200171,C101601,9/06/2024,,Open,ADD_ON_TKR,TKR Add-on,Partners,awong,321,0,Ohomairangi Ltd,Education,18,1,1/03/2025
D200172,C103821,26/05/2025,19/06/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,190,0,Tui Group,Accounting,1,0,1/07/2025
D200173,C100514,5/02/2024,,Open,PM,People Management,Partners,shao,1151,0,Harbour Trust,Manufacturing,58,0,1/07/2024
D200174,C104842,27/10/2024,,Open,PAYROLL_MPS,Managed Payroll,Partners,dinkster,4891,0,Beta Ltd,Construction,1,0,1/06/2025
