case,alt,choice,dist,cost,ivt,ovt,freq,income,urban,noalt
139,car,0,354,67.26,231,0,0,35,1,4
140,train,1,354,59,237,69,4,15,1,4
140,air,0,354,155.8,56,97,9,15,1,4
140,bus,0,354,27.34,301,68,8,15,1,4
140,car,0,354,67.26,231,0,0,15,1,4
141,train,1,354,59,237,69,4,55,1,4
141,air,0,354,155.8,56,97,9,55,1,4
141,bus,0,354,27.34,301,68,8,55,1,4
141,car,0,354,67.26,231,0,0,55,1,4
142,train,1,354,59,237,69,4,70,1,4
142,air,0,354,155.8,56,97,9,70,1,4
142,bus,0,354,27.34,301,68,8,70,1,4
142,car,0,354,67.26,231,0,0,70,1,4
143,train,1,354,59,237,69,4,70,1,4
143,air,0,354,155.8,56,97,9,70,1,4
143,bus,0,354,27.34,301,68,8,70,1,4
143,car,0,354,67.26,231,0,0,70,1,4
144,train,1,354,59,237,69,4,45,1,4
144,air,0,354,155.8,56,97,9,45,1,4
144,bus,0,354,27.34,301,68,8,45,1,4
144,car,0,354,67.26,231,0,0,45,1,4
145,train,1,354,59,237,69,4,70,1,4
145,air,0,354,155.8,56,97,9,70,1,4
145,bus,0,354,27.34,301,68,8,70,1,4
145,car,0,354,67.26,231,0,0,70,1,4
146,train,1,354,59,237,69,4,35,1,4
146,air,0,354,155.8,56,97,9,35,1,4
146,bus,0,354,27.34,301,68,8,35,1,4
146,car,0,354,67.26,231,0,0,35,1,4
147,train,1,354,59,237,69,4,70,1,4
147,air,0,354,155.8,56,97,9,70,1,4
147,bus,0,354,27.34,301,68,8,70,1,4
147,car,0,354,67.26,231,0,0,70,1,4
148,train,1,354,59,237,69,4,45,1,4
148,air,0,354,155.8,56,97,9,45,1,4
148,bus,0,354,27.34,301,68,8,45,1,4
148,car,0,354,67.26,231,0,0,45,1,4
149,train,0,354,59,237,69,4,70,1,4
149,air,1,354,155.8,56,97,9,70,1,4
149,bus,0,354,27.34,301,68,8,70,1,4
149,car,0,354,67.26,231,0,0,70,1,4
150,train,0,354,59,237,69,4,70,1,4
150,air,1,354,155.8,56,97,9,70,1,4
150,bus,0,354,27.34,301,68,8,70,1,4
150,car,0,354,67.26,231,0,0,70,1,4
151,train,0,354,59,237,69,4,70,1,4
151,air,1,354,155.8,56,97,9,70,1,4
151,bus,0,354,27.34,301,68,8,70,1,4
151,car,0,354,67.26,231,0,0,70,1,4
152,train,0,354,59,237,69,4,70,1,4
152,air,1,354,155.8,56,97,9,70,1,4
152,bus,0,354,27.34,301,68,8,70,1,4
152,car,0,354,67.26,231,0,0,70,1,4
153,train,0,354,59,237,69,4,70,1,4
153,air,1,354,155.8,56,97,9,70,1,4
153,bus,0,354,27.34,301,68,8,70,1,4
153,car,0,354,67.26,231,0,0,70,1,4
154,train,0,354,59,237,69,4,70,1,4
154,air,1,354,155.8,56,97,9,70,1,4
154,bus,0,354,27.34,301,68,8,70,1,4
154,car,0,354,67.26,231,0,0,70,1,4
155,train,0,354,59,237,69,4,55,1,4
155,air,1,354,155.8,56,97,9,55,1,4
155,bus,0,354,27.34,301,68,8,55,1,4
155,car,0,354,67.26,231,0,0,55,1,4
156,train,0,354,59,237,69,4,70,1,4
156,air,1,354,155.8,56,97,9,70,1,4
156,bus,0,354,27.34,301,68,8,70,1,4
156,car,0,354,67.26,231,0,0,70,1,4
157,train,0,354,59,237,69,4,55,1,4
157,air,1,354,155.8,56,97,9,55,1,4
157,bus,0,354,27.34,301,68,8,55,1,4
157,car,0,354,67.26,231,0,0,55,1,4
158,train,0,354,59,237,69,4,70,1,4
158,air,1,354,155.8,56,97,9,70,1,4
158,bus,0,354,27.34,301,68,8,70,1,4
158,car,0,354,67.26,231,0,0,70,1,4
159,train,0,354,59,237,69,4,35,1,4
159,air,0,354,155.8,56,97,9,35,1,4
159,bus,0,354,27.34,301,68,8,35,1,4
159,car,1,354,67.26,231,0,0,35,1,4
160,train,0,354,59,237,69,4,55,1,4
160,air,0,354,155.8,56,97,9,55,1,4
160,bus,0,354,27.34,301,68,8,55,1,4
160,car,1,354,67.26,231,0,0,55,1,4
161,train,0,354,59,237,69,4,70,1,4
161,air,0,354,155.8,56,97,9,70,1,4
161,bus,0,354,27.34,301,68,8,70,1,4
161,car,1,354,67.26,231,0,0,70,1,4
162,train,0,354,59,237,69,4,70,1,4
162,air,0,354,155.8,56,97,9,70,1,4
162,bus,0,354,27.34,301,68,8,70,1,4
162,car,1,354,67.26,231,0,0,70,1,4
163,train,0,354,59,237,69,4,70,1,4
163,air,0,354,155.8,56,97,9,70,1,4
163,bus,0,354,27.34,301,68,8,70,1,4
163,car,1,354,67.26,231,0,0,70,1,4
164,train,0,354,59,237,69,4,35,1,4
164,air,0,354,155.8,56,97,9,35,1,4
164,bus,0,354,27.34,301,68,8,35,1,4
164,car,1,354,67.26,231,0,0,35,1,4
165,train,0,354,59,237,69,4,31,1,4
165,air,0,354,155.8,56,97,9,31,1,4
165,bus,0,354,27.34,301,68,8,31,1,4
165,car,1,354,67.26,231,0,0,31,1,4
166,train,0,354,59,237,69,4,25,1,4
166,air,0,354,155.8,56,97,9,25,1,4
166,bus,0,354,27.34,301,68,8,25,1,4
166,car,1,354,67.26,231,0,0,25,1,4
167,train,0,354,59,237,69,4,25,1,4
167,air,0,354,155.8,56,97,9,25,1,4
167,bus,0,354,27.34,301,68,8,25,1,4
167,car,1,354,67.26,231,0,0,25,1,4
168,train,1,362,61.35,237,94,4,15,1,4
168,air,0,362,152.65,56,93,9,15,1,4
168,bus,0,362,27.27,301,83,8,15,1,4
168,car,0,362,68.78,242,0,0,15,1,4
169,train,1,362,61.35,237,94,4,15,1,4
169,air,0,362,152.65,56,93,9,15,1,4
169,bus,0,362,27.27,301,83,8,15,1,4
169,car,0,362,68.78,242,0,0,15,1,4
170,train,0,362,61.35,237,94,4,70,1,4
170,air,1,362,152.65,56,93,9,70,1,4
170,bus,0,362,27.27,301,83,8,70,1,4
170,car,0,362,68.78,242,0,0,70,1,4
171,train,0,362,61.35,237,94,4,55,1,4
171,air,1,362,152.65,56,93,9,55,1,4
171,bus,0,362,27.27,301,83,8,55,1,4
171,car,0,362,68.78,242,0,0,55,1,4
172,train,0,362,61.35,237,94,4,70,1,4
172,air,1,362,152.65,56,93,9,70,1,4
172,bus,0,362,27.27,301,83,8,70,1,4
172,car,0,362,68.78,242,0,0,70,1,4
173,train,0,362,61.35,237,94,4,70,1,4
173,air,1,362,152.65,56,93,9,70,1,4
173,bus,0,362,27.27,301,83,8,70,1,4
173,car,0,362,68.78,242,0,0,70,1,4
174,train,0,362,61.35,237,94,4,70,1,4
174,air,1,362,152.65,56,93,9,70,1,4
174,bus,0,362,27.27,301,83,8,70,1,4
174,car,0,362,68.78,242,0,0,70,1,4
175,train,0,362,61.35,237,94,4,25,1,4
175,air,0,362,152.65,56,93,9,25,1,4
175,bus,0,362,27.27,301,83,8,25,1,4
175,car,1,362,68.78,242,0,0,25,1,4
176,train,0,362,61.35,237,94,4,70,1,4
176,air,0,362,152.65,56,93,9,70,1,4
176,bus,0,362,27.27,301,83,8,70,1,4
176,car,1,362,68.78,242,0,0,70,1,4
177,train,0,362,61.35,237,94,4,45,1,4
177,air,0,362,152.65,56,93,9,45,1,4
177,bus,0,362,27.27,301,83,8,45,1,4
177,car,1,362,68.78,242,0,0,45,1,4
178,train,0,362,61.35,237,94,4,55,1,4
178,air,0,362,152.65,56,93,9,55,1,4
178,bus,0,362,27.27,301,83,8,55,1,4
178,car,1,362,68.78,242,0,0,55,1,4
179,train,0,362,61.35,237,94,4,55,1,4
179,air,0,362,152.65,56,93,9,55,1,4
179,bus,0,362,27.27,301,83,8,55,1,4
179,car,1,362,68.78,242,0,0,55,1,4
180,train,0,362,61.35,237,94,4,70,1,4
180,air,0,362,152.65,56,93,9,70,1,4
180,bus,0,362,27.27,301,83,8,70,1,4
180,car,1,362,68.78,242,0,0,70,1,4
181,train,1,365,60.85,237,94,4,45,1,4
181,air,0,365,154.45,56,99,9,45,1,4
181,bus,0,365,27.42,301,86,8,45,1,4
181,car,0,365,69.35,245,0,0,45,1,4
182,train,1,365,60.85,237,94,4,70,1,4
182,air,0,365,154.45,56,99,9,70,1,4
182,bus,0,365,27.42,301,86,8,70,1,4
182,car,0,365,69.35,245,0,0,70,1,4
183,train,0,365,60.85,237,94,4,70,1,4
183,air,1,365,154.45,56,99,9,70,1,4
183,bus,0,365,27.42,301,86,8,70,1,4
183,car,0,365,69.35,245,0,0,70,1,4
184,train,0,365,60.85,237,94,4,70,1,4
184,air,1,365,154.45,56,99,9,70,1,4
184,bus,0,365,27.42,301,86,8,70,1,4
184,car,0,365,69.35,245,0,0,70,1,4
185,train,0,365,60.85,237,94,4,25,1,4
185,air,0,365,154.45,56,99,9,25,1,4
185,bus,0,365,27.42,301,86,8,25,1,4
185,car,1,365,69.35,245,0,0,25,1,4
186,train,0,365,60.85,237,94,4,45,1,4
186,air,0,365,154.45,56,99,9,45,1,4
186,bus,0,365,27.42,301,86,8,45,1,4
186,car,1,365,69.35,245,0,0,45,1,4
187,train,0,365,60.85,237,94,4,70,1,4
187,air,0,365,154.45,56,99,9,70,1,4
187,bus,0,365,27.42,301,86,8,70,1,4
187,car,1,365,69.35,245,0,0,70,1,4
188,train,0,365,60.85,237,94,4,25,1,4
188,air,0,365,154.45,56,99,9,25,1,4
188,bus,0,365,27.42,301,86,8,25,1,4
188,car,1,365,69.35,245,0,0,25,1,4
189,train,0,365,60.85,237,94,4,45,1,4
189,air,0,365,154.45,56,99,9,45,1,4
189,bus,0,365,27.42,301,86,8,45,1,4
189,car,1,365,69.35,245,0,0,45,1,4
190,train,0,377,61.85,237,108,4,45,0,4
190,air,0,377,146.2,56,84,9,45,0,4
190,bus,0,377,26.67,301,88,8,45,0,4
190,car,1,377,71.63,262,0,0,45,0,4
191,train,0,380,62.85,237,112,4,70,0,4
191,air,1,380,154.2,56,104,9,70,0,4
191,bus,0,380,31.67,301,93,8,70,0,4
191,car,0,380,72.2,265,0,0,70,0,4
192,train,0,380,62.85,237,112,4,70,0,4
192,air,1,380,154.2,56,104,9,70,0,4
192,bus,0,380,31.67,301,93,8,70,0,4
192,car,0,380,72.2,265,0,0,70,0,4
193,train,0,380,62.85,237,112,4,45,0,4
193,air,0,380,154.2,56,104,9,45,0,4
193,bus,0,380,31.67,301,93,8,45,0,4
193,car,1,380,72.2,265,0,0,45,0,4
194,train,0,380,62.85,237,112,4,35,0,4
194,air,0,380,154.2,56,104,9,35,0,4
194,bus,0,380,31.67,301,93,8,35,0,4
194,car,1,380,72.2,265,0,0,35,0,4
195,train,0,380,62.85,237,112,4,70,0,4
195,air,0,380,154.2,56,104,9,70,0,4
195,bus,0,380,31.67,301,93,8,70,0,4
195,car,1,380,72.2,265,0,0,70,0,4
196,train,0,380,61.85,237,94,4,45,0,4
196,air,0,380,155.2,56,99,9,45,0,4
196,bus,0,380,26.67,301,83,8,45,0,4
196,car,1,380,72.2,265,0,0,45,0,4
197,train,0,409,62.85,237,124,4,55,0,4
197,air,0,409,150.2,56,114,9,55,0,4
197,bus,0,409,26.67,301,113,8,55,0,4
197,car,1,409,77.71,276,0,0,55,0,4
198,train,0,409,62.85,237,124,4,70,0,4
198,air,0,409,150.2,56,114,9,70,0,4
198,bus,0,409,26.67,301,113,8,70,0,4
198,car,1,409,77.71,276,0,0,70,0,4
199,train,0,393,62.85,237,112,4,70,0,4
199,air,0,393,150.2,56,109,9,70,0,4
199,bus,0,393,26.67,301,103,8,70,0,4
199,car,1,393,74.67,258,0,0,70,0,4
243,train,1,355,59,215,85,4,70,0,4
243,air,0,355,146.9,56,91,9,70,0,4
243,bus,0,355,30.37,301,79,8,70,0,4
243,car,0,355,67.45,256,0,0,70,0,4
244,train,0,355,59,215,85,4,70,0,4
244,air,0,355,146.9,56,91,9,70,0,4
244,bus,0,355,30.37,301,79,8,70,0,4
244,car,1,355,67.45,256,0,0,70,0,4
245,train,0,343,61.6,237,105,4,55,1,4
245,air,1,343,155.3,56,83,9,55,1,4
245,bus,0,343,30.67,301,99,8,55,1,4
245,car,0,343,65.17,240,0,0,55,1,4
246,train,1,332,59.75,237,80,4,70,1,4
246,air,0,332,159.9,56,103,9,70,1,4
246,bus,0,332,30.19,301,84,8,70,1,4
246,car,0,332,63.08,226,0,0,70,1,4
247,train,0,340,62.1,237,105,4,70,1,4
247,air,1,340,156.75,56,99,9,70,1,4
247,bus,0,340,30.12,301,99,8,70,1,4
247,car,0,340,64.6,237,0,0,70,1,4
248,train,0,340,62.1,237,105,4,70,1,4
248,air,1,340,156.75,56,99,9,70,1,4
248,bus,0,340,30.12,301,99,8,70,1,4
248,car,0,340,64.6,237,0,0,70,1,4
249,train,0,358,63.6,237,123,4,35,0,4
249,air,0,358,158.3,56,110,9,35,0,4
249,bus,0,358,34.52,301,109,8,35,0,4
249,car,1,358,68.02,260,0,0,35,0,4
250,train,0,370,63.6,237,135,4,70,0,4
250,air,1,370,154.3,56,115,9,70,0,4
250,bus,0,370,29.52,301,129,8,70,0,4
250,car,0,370,70.3,276,0,0,70,0,4
251,train,0,387,63.6,237,135,4,70,0,4
251,air,0,387,154.3,56,120,9,70,0,4
251,bus,0,387,29.52,301,129,8,70,0,4
251,car,1,387,73.53,271,0,0,70,0,4
271,train,0,294,60,215,95,4,55,0,4
271,air,0,294,146.9,56,111,9,55,0,4
271,bus,0,294,30.57,301,90,8,55,0,4
271,car,1,294,55.86,211,0,0,55,0,4
272,train,1,271,60.75,237,90,4,70,1,4
272,air,0,271,159.9,56,123,9,70,1,4
272,bus,0,271,30.39,301,95,8,70,1,4
272,car,0,271,51.49,181,0,0,70,1,4
273,train,1,271,60.75,237,90,4,70,1,4
273,air,0,271,159.9,56,123,9,70,1,4
273,bus,0,271,30.39,301,95,8,70,1,4
273,car,0,271,51.49,181,0,0,70,1,4
274,train,1,271,60.75,237,90,4,55,1,4
274,air,0,271,159.9,56,123,9,55,1,4
274,bus,0,271,30.39,301,95,8,55,1,4
274,car,0,271,51.49,181,0,0,55,1,4
275,train,0,271,60.75,237,90,4,70,1,4
275,air,0,271,159.9,56,123,9,70,1,4
275,bus,0,271,30.39,301,95,8,70,1,4
275,car,1,271,51.49,181,0,0,70,1,4
276,train,0,271,60.75,237,90,4,35,1,4
276,air,0,271,159.9,56,123,9,35,1,4
276,bus,0,271,30.39,301,95,8,35,1,4
276,car,1,271,51.49,181,0,0,35,1,4
277,train,0,279,63.1,237,115,4,25,1,4
277,air,0,279,156.75,56,119,9,25,1,4
277,bus,0,279,30.32,301,110,8,25,1,4
277,car,1,279,53.01,192,0,0,25,1,4
285,train,1,293,50.75,187,75,4,70,1,4
285,air,0,293,154.4,50,113,4,70,1,4
285,bus,0,293,25.71,316,90,2,70,1,4
285,car,0,293,55.67,199,0,0,70,1,4
286,train,0,293,50.75,187,75,4,70,1,4
286,air,0,293,154.4,50,113,4,70,1,4
286,bus,0,293,25.71,316,90,2,70,1,4
286,car,1,293,55.67,199,0,0,70,1,4
325,train,0,293,45.1,165,80,1,25,0,4
325,air,0,293,135.1,50,76,4,25,0,4
325,bus,0,293,21.89,316,60,2,25,0,4
325,car,1,293,55.67,211,0,0,25,0,4
326,train,0,293,45.1,165,80,1,70,0,4
326,air,0,293,135.1,50,76,4,70,0,4
326,bus,0,293,21.89,316,60,2,70,0,4
326,car,1,293,55.67,211,0,0,70,0,4
327,train,0,293,45.1,165,80,1,35,0,4
327,air,0,293,135.1,50,76,4,35,0,4
327,bus,0,293,21.89,316,60,2,35,0,4
327,car,1,293,55.67,211,0,0,35,0,4
328,train,0,293,45.1,165,80,1,70,0,4
328,air,0,293,135.1,50,76,4,70,0,4
328,bus,0,293,21.89,316,60,2,70,0,4
328,car,1,293,55.67,211,0,0,70,0,4
329,train,1,303,45.1,205,65,3,70,0,4
329,air,0,303,138.1,50,76,4,70,0,4
329,bus,0,303,21.04,316,55,2,70,0,4
329,car,0,303,57.57,200,0,0,70,0,4
330,train,0,303,45.1,205,65,3,35,0,4
330,air,0,303,138.1,50,76,4,35,0,4
330,bus,0,303,21.04,316,55,2,35,0,4
330,car,1,303,57.57,200,0,0,35,0,4
331,train,0,303,45.1,205,65,3,70,0,4
331,air,0,303,138.1,50,76,4,70,0,4
331,bus,0,303,21.04,316,55,2,70,0,4
331,car,1,303,57.57,200,0,0,70,0,4
332,train,0,281,48.5,187,100,4,55,1,4
332,air,0,281,143.5,50,68,4,55,1,4
332,bus,0,281,22.19,316,80,2,55,1,4
332,car,1,281,53.39,195,0,0,55,1,4
333,train,0,281,48.5,187,100,4,70,1,4
333,air,0,281,143.5,50,68,4,70,1,4
333,bus,0,281,22.19,316,80,2,70,1,4
333,car,1,281,53.39,195,0,0,70,1,4
334,train,0,281,48.5,187,100,4,70,1,4
334,air,0,281,143.5,50,68,4,70,1,4
334,bus,0,281,22.19,316,80,2,70,1,4
334,car,1,281,53.39,195,0,0,70,1,4
335,train,0,281,48.5,187,100,4,35,1,4
335,air,0,281,143.5,50,68,4,35,1,4
335,bus,0,281,22.19,316,80,2,35,1,4
335,car,1,281,53.39,195,0,0,35,1,4
336,train,0,281,48.5,187,100,4,31,1,4
336,air,0,281,143.5,50,68,4,31,1,4
336,bus,0,281,22.19,316,80,2,31,1,4
336,car,1,281,53.39,195,0,0,31,1,4
337,train,0,270,46.65,187,75,4,55,1,4
337,air,0,270,148.1,50,88,4,55,1,4
337,bus,0,270,21.71,316,65,2,55,1,4
337,car,1,270,51.3,181,0,0,55,1,4
338,train,0,270,46.65,187,75,4,35,1,4
338,air,0,270,148.1,50,88,4,35,1,4
338,bus,0,270,21.71,316,65,2,35,1,4
338,car,1,270,51.3,181,0,0,35,1,4
339,train,0,270,46.65,187,75,4,35,1,4
339,air,0,270,148.1,50,88,4,35,1,4
339,bus,0,270,21.71,316,65,2,35,1,4
339,car,1,270,51.3,181,0,0,35,1,4
340,train,0,278,49,187,100,4,70,1,4
340,air,0,278,144.95,50,84,4,70,1,4
340,bus,0,278,21.64,316,80,2,70,1,4
340,car,1,278,52.82,192,0,0,70,1,4
341,train,0,278,49,187,100,4,45,1,4
341,air,0,278,144.95,50,84,4,45,1,4
341,bus,0,278,21.64,316,80,2,45,1,4
341,car,1,278,52.82,192,0,0,45,1,4
342,train,0,278,49,187,100,4,70,1,4
342,air,0,278,144.95,50,84,4,70,1,4
342,bus,0,278,21.64,316,80,2,70,1,4
342,car,1,278,52.82,192,0,0,70,1,4
343,train,0,281,48.5,187,100,4,25,1,4
343,air,0,281,146.75,50,90,4,25,1,4
343,bus,0,281,21.79,316,83,2,25,1,4
343,car,1,281,53.39,195,0,0,25,1,4
344,train,0,281,48.5,187,100,4,35,1,4
344,air,0,281,146.75,50,90,4,35,1,4
344,bus,0,281,21.79,316,83,2,35,1,4
344,car,1,281,53.39,195,0,0,35,1,4
360,train,0,265,50.15,187,90,4,55,1,4
360,air,0,265,154.4,50,103,4,55,1,4
360,bus,0,265,22.21,316,80,2,55,1,4
360,car,1,265,50.35,183,0,0,55,1,4
361,train,0,265,50.15,187,90,4,25,1,4
361,air,0,265,154.4,50,103,4,25,1,4
361,bus,0,265,22.21,316,80,2,25,1,4
361,car,1,265,50.35,183,0,0,25,1,4
370,train,0,150,32.75,92,75,5,35,0,4
370,air,0,150,132.75,40,120,25,35,0,4
370,bus,0,150,11.23,109,86,7,35,0,4
370,car,1,150,28.5,112,0,0,35,0,4
371,train,0,150,32.75,92,75,5,25,0,4
371,air,0,150,132.75,40,120,25,25,0,4
371,bus,0,150,11.23,109,86,7,25,0,4
371,car,1,150,28.5,112,0,0,25,0,4
372,train,0,237,40.35,138,65,4,70,0,4
372,air,0,237,129,40,101,25,70,0,4
372,bus,0,237,17.4,152,91,12,70,0,4
372,car,1,237,45.03,164,0,0,70,0,4
373,train,0,215,43.75,120,100,12,70,1,4
373,air,0,215,134.4,40,93,25,70,1,4
373,bus,0,215,18.55,152,116,12,70,1,4
373,car,1,215,40.85,159,0,0,70,1,4
374,train,0,215,43.75,120,100,12,35,1,4
374,air,0,215,134.4,40,93,25,35,1,4
374,bus,0,215,18.55,152,116,12,35,1,4
374,car,1,215,40.85,159,0,0,35,1,4
375,train,1,204,41.9,120,75,12,55,1,4
375,air,0,204,139,40,113,25,55,1,4
375,bus,0,204,18.07,152,101,12,55,1,4
375,car,0,204,38.76,144,0,0,55,1,4
376,train,1,204,41.9,120,75,12,70,1,4
376,air,0,204,139,40,113,25,70,1,4
376,bus,0,204,18.07,152,101,12,70,1,4
376,car,0,204,38.76,144,0,0,70,1,4
377,train,1,204,41.9,120,75,12,55,1,4
377,air,0,204,139,40,113,25,55,1,4
377,bus,0,204,18.07,152,101,12,55,1,4
377,car,0,204,38.76,144,0,0,55,1,4
378,train,1,204,41.9,120,75,12,45,1,4
378,air,0,204,139,40,113,25,45,1,4
378,bus,0,204,18.07,152,101,12,45,1,4
378,car,0,204,38.76,144,0,0,45,1,4
379,train,0,204,41.9,120,75,12,70,1,4
379,air,1,204,139,40,113,25,70,1,4
379,bus,0,204,18.07,152,101,12,70,1,4
379,car,0,204,38.76,144,0,0,70,1,4
380,train,0,204,41.9,120,75,12,28,1,4
380,air,0,204,139,40,113,25,28,1,4
380,bus,0,204,18.07,152,101,12,28,1,4
380,car,1,204,38.76,144,0,0,28,1,4
381,train,0,204,41.9,120,75,12,25,1,4
381,air,0,204,139,40,113,25,25,1,4
381,bus,0,204,18.07,152,101,12,25,1,4
381,car,1,204,38.76,144,0,0,25,1,4
382,train,0,326,53.75,120,120,12,45,0,4
382,air,0,326,133.4,40,140,25,45,0,4
382,bus,0,326,24.88,346,96,1,45,0,4
382,car,1,326,61.94,226,0,0,45,0,4
384,train,0,587,92.75,434,90,2,70,1,4
384,air,1,587,175.6,96,100,5,70,1,4
