deal_id,company_id,deal_created_date,deal_close_date,status,product_code,product_name,channel,owner,deal_mrr,reopened_flag,company_name,industry,employee_count,is_partner,first_invoice_date,event_occurred,time_to_invoice
D200103,C102667,13/05/2024,26/07/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,1579,0,Harbour Trust,Manufacturing,6,0,1/08/2024,1,6
D200104,C102481,5/04/2025,20/06/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dinkster,7941,0,Pivot Limited,Construction,65,0,1/07/2025,1,11
D200108,C100368,2/08/2024,11/09/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,681,0,Ohomairangi Holdings,Construction,23,0,1/10/2024,1,20
D200115,C104360,24/03/2025,19/05/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,nobody,221,0,Tui Nimbus Services,Construction,92,0,1/06/2025,1,13
D200119,C103183,13/02/2025,13/05/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,unassigned,5189,0,Nimbus Trust,Legal,1,0,1/06/2025,1,19
D200120,C103035,16/03/2024,18/05/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,1959,0,Beta Co.,Retail,82,0,1/06/2024,1,14
D200121,C101884,14/08/2024,7/09/2024,Closed Won,PM,People Management,Partners,dt,1010,0,Harbour Services,Legal,11,0,1/10/2024,1,24
D200124,C101778,8/03/2025,24/03/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,835,0,Duncan Air Trust,Software,1,0,1/04/2025,1,8
D200127,C103741,25/09/2024,20/11/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,263,0,Ohomairangi Atlas Group,Retail,54,0,1/12/2024,1,11
D200128,C101172,17/01/2024,3/03/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,543,0,Pivot Alpha Limited,Software,33,0,1/04/2024,1,29
D200129,C100701,19/12/2024,1/01/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,300,0,Ohomairangi Pivot Co.,Legal,38,0,1/01/2025,1,0
D200130,C103074,15/06/2025,17/06/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,3386,0,Beta Trust,Accounting,19,0,1/07/2025,1,14
D200134,C102786,4/06/2024,24/07/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dt,2205,0,Kauri Ltd,Education,6,1,1/08/2024,1,8
D200135,C102965,27/02/2024,18/03/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,1140,0,Nimbus Holdings,Manufacturing,20,0,1/04/2024,1,14
D200142,C102841,10/05/2024,8/08/2024,Closed Won,PM,People Management,Direct,shao,1352,0,Eurotec Holdings,Manufacturing,62,0,1/09/2024,1,24
D200144,C104319,10/07/2024,9/09/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster,2708,0,Beta Partners,Retail,1,0,1/10/2024,1,22
D200145,C104056,2/11/2024,31/01/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1067,0,Kauri Limited,Legal,15,0,1/02/2025,1,1
D200147,C102421,25/03/2024,28/04/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,unassigned,4770,0,Alpha Pivot Holdings,Legal,24,1,1/06/2024,1,34
D200152,C101798,11/06/2025,18/07/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,1959,0,Nimbus Co.,Construction,46,1,1/08/2025,1,14
D200153,C100112,23/10/2024,19/01/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,3011,0,Tui Wenita Group,Software,28,0,1/02/2025,1,13
D200154,C103795,13/11/2024,16/01/2025,Closed Won,PM,People Management,Direct,nobody,0,1,Ohomairangi Trust,Retail,71,1,1/02/2025,1,16
D200156,C104413,10/05/2024,7/06/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,407,0,Summit Tui Services,Education,37,0,1/07/2024,1,24
D200158,C100265,6/10/2024,5/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,2026,0,Kauri Summit Co.,Construction,47,0,1/12/2024,1,26
D200159,C104607,3/04/2024,9/06/2024,Closed Won,PM,People Management,Partners,dinkster,1725,0,Kea Limited,Healthcare,13,0,1/07/2024,1,22
D200162,C102113,19/06/2024,21/07/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,awong,1012,0,Kea Services,Manufacturing,87,0,1/08/2024,1,11
D200163,C103778,13/03/2025,13/05/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dt,1373,0,Harbour Rimu Partners,Retail,64,0,1/06/2025,1,19
D200164,C100731,12/05/2025,28/07/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,shao,2921,0,Wenita Services,Legal,53,0,1/08/2025,1,4
D200165,C104025,13/05/2024,30/07/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,1966,0,Kauri Partners,Education,15,0,1/09/2024,1,33
D200169,C103230,1/05/2024,25/05/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,6317,0,Atlas Pivot Holdings,Legal,51,0,1/07/2024,1,37
D200172,C103821,26/05/2025,19/06/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,190,0,Tui Group,Accounting,1,0,1/07/2025,1,12
D200177,C100192,8/01/2025,13/03/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dt,1905,0,Beta Limited,Construction,1,0,1/04/2025,1,19
D200178,C101859,21/09/2024,25/09/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dinkster,9591,0,Atlas Trust,Legal,38,0,1/10/2024,1,6
D200181,C103164,11/08/2024,13/09/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,1118,0,Tui Harbour Services,Software,66,0,1/10/2024,1,18
D200185,C104885,1/12/2024,9/01/2025,Closed Won,PM,People Management,Partners,mkoenen,736,0,Nimbus Trust,Manufacturing,31,0,1/02/2025,1,23
D200186,C100177,13/03/2025,15/04/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,mkoenen,3548,0,Summit Limited,Education,36,0,1/05/2025,1,16
D200187,C102817,6/07/2024,30/07/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,364,0,Nimbus Trust,Construction,69,0,1/08/2024,1,2
D200190,C104137,12/01/2024,21/01/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,2096,0,Kea Group,Healthcare,74,0,1/02/2024,1,11
D200191,C104406,4/11/2024,9/12/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,shao,2695,0,Summit Wenita Co.,Retail,1,0,1/01/2025,1,23
D200195,C101525,4/02/2024,23/03/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1403,0,Atlas Ohomairangi Limited,Retail,1,0,1/04/2024,1,9
D200199,C102926,8/08/2024,19/09/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,2184,0,Kea Holdings,Retail,7,0,1/10/2024,1,12
D200201,C101781,12/06/2025,14/08/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,623,0,Tui Kea Trust,Manufacturing,1,0,1/09/2025,1,18
D200202,C102682,30/08/2024,13/09/2024,Closed Won,PM,People Management,Direct,dt,756,0,Nimbus Harbour Services,Accounting,1,0,1/10/2024,1,18
D200205,C102689,6/11/2024,10/01/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,756,0,Alpha Services,Manufacturing,37,0,1/02/2025,1,22
D200210,C104807,11/09/2024,11/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,mkoenen,1382,0,Pivot Group,Healthcare,15,1,1/12/2024,1,20
D200212,C104002,30/04/2024,16/06/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,awong,2709,0,Kauri Holdings,Healthcare,7,0,1/07/2024,1,15
D200213,C101268,5/06/2024,31/08/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,931,0,Harbour Limited,Manufacturing,1,0,1/09/2024,1,1
D200214,C101654,9/10/2024,30/12/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,305,0,Beta Beta Services,Healthcare,1,0,1/02/2025,1,33
D200217,C103880,31/03/2024,13/05/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,shao,1057,0,Ohomairangi Tui Limited,Education,30,0,1/06/2024,1,19
D200220,C103026,28/07/2024,18/08/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,545,0,Rimu Group,Healthcare,17,0,1/09/2024,1,14
D200221,C104094,13/02/2024,14/02/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,1057,0,Nimbus Co.,Accounting,58,0,1/03/2024,1,16
D200222,C104327,31/10/2024,28/12/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,3168,0,Wenita Trust,Accounting,33,0,1/01/2025,1,4
D200224,C103383,10/11/2024,14/11/2024,Closed Won,PM,People Management,Partners,unassigned,1295,0,Tui Co.,Manufacturing,1,0,1/12/2024,1,17
D200225,C104865,1/12/2024,27/02/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,125,0,Duncan Air Ltd,Software,33,0,1/04/2025,1,33
D200226,C102506,20/09/2024,8/12/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,4961,0,Atlas Partners,Manufacturing,24,0,1/01/2025,1,24
D200229,C101117,29/09/2024,1/12/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,awong,7808,0,Beta Partners,Retail,17,0,1/12/2024,1,0
D200230,C103168,6/03/2024,28/04/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,581,0,Kauri Holdings,Manufacturing,32,1,1/05/2024,1,3
D200232,C103771,29/05/2025,24/08/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,2410,0,Harbour Harbour Trust,Software,49,1,1/09/2025,1,8
D200233,C102092,27/09/2024,20/11/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,5752,0,Rimu Holdings,Legal,94,0,1/12/2024,1,11
D200234,C102058,16/09/2024,24/09/2024,Closed Won,PM,People Management,Direct,awong,579,0,Wenita Partners,Accounting,39,0,1/10/2024,1,7
D200236,C104483,23/11/2024,5/12/2024,Closed Won,PM,People Management,Direct,shao,0,0,Beta Co.,Software,37,0,1/01/2025,1,27
D200239,C102420,20/02/2025,8/05/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,shao,1650,0,Duncan Air Pivot Group,Accounting,41,0,1/06/2025,1,24
D200240,C100926,23/10/2024,27/12/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster_tmp,811,0,Ohomairangi Trust,Software,1,0,1/02/2025,1,36
D200243,C103481,25/02/2025,3/03/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,shao,5418,0,Harbour Trust,Retail,58,0,1/04/2025,1,29
D200244,C101192,13/09/2024,26/10/2024,Closed Won,PM,People Management,Direct,mkoenen,1621,0,Nimbus Holdings,Manufacturing,20,0,1/11/2024,1,6
D200245,C103724,17/11/2024,18/11/2024,Closed Won,PM,People Management,Partners,dt,0,0,Pivot Services,Accounting,31,0,1/12/2024,1,13
D200246,C100581,1/07/2024,6/09/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,2687,0,Nimbus Partners,Retail,2,0,1/10/2024,1,25
D200250,C102645,8/11/2024,13/11/2024,Closed Won,PM,People Management,Direct,awong,756,0,Rimu Eurotec Trust,Retail,1,0,1/12/2024,1,18
D200251,C101950,7/01/2024,24/02/2024,Closed Won,PM,People Management,Direct,mkoenen,1560,0,Kauri Limited,Retail,1,0,1/03/2024,1,6
D200252,C103322,26/09/2024,23/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,2497,0,Duncan Air Services,Construction,30,0,1/12/2024,1,8
D200259,C104759,12/06/2024,29/06/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,awong,1062,0,Eurotec Co.,Manufacturing,33,0,1/08/2024,1,33
D200262,C103159,2/06/2025,15/06/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,1062,0,Eurotec Eurotec Partners,Accounting,79,0,1/07/2025,1,16
D200266,C104068,25/09/2024,1/11/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dt,379,0,Kauri Ltd,Construction,44,0,1/11/2024,1,0
D200267,C101770,3/07/2025,22/08/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,shao,432,0,Kauri Ltd,Education,11,0,1/09/2025,1,10
D200268,C103112,17/09/2024,30/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,mkoenen,2596,0,Summit Services,Retail,97,0,1/12/2024,1,1
D200270,C103911,17/01/2025,1/03/2025,Closed Won,PM,People Management,Direct,mkoenen,806,0,Beta Eurotec Ltd,Software,56,0,1/03/2025,1,0
D200271,C101014,26/04/2024,17/05/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dinkster,613,0,Pivot Trust,Software,1,0,1/06/2024,1,15
D200272,C101125,14/08/2024,5/11/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster_tmp,820,0,Harbour Partners,Retail,1,0,1/12/2024,1,26
D200273,C100454,19/11/2024,20/01/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dt,1380,0,Tui Holdings,Education,24,1,1/02/2025,1,12
D200274,C102472,22/11/2024,24/12/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,unassigned,2108,0,Tui Tui Ltd,Education,5,0,1/01/2025,1,8
D200280,C100635,13/04/2024,16/06/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,666,0,Pivot Holdings,Education,1,0,1/07/2024,1,15
D200281,C101321,28/01/2025,12/03/2025,Closed Won,PM,People Management,Partners,mkoenen_tmp,250,0,Harbour Ltd,Software,1,0,1/04/2025,1,20
D200283,C102417,22/08/2024,11/10/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dinkster,1909,0,Atlas Duncan Air Limited,Manufacturing,80,0,1/11/2024,1,21
D200285,C100699,30/06/2024,22/07/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,unassigned,5057,0,Wenita Eurotec Ltd,Construction,3,0,1/08/2024,1,10
D200287,C104892,9/03/2024,4/05/2024,Closed Won,PM,People Management,Direct,mkoenen,1425,0,Nimbus Co.,Legal,1,0,1/06/2024,1,28
D200289,C102214,30/05/2025,14/06/2025,Closed Won,PM,People Management,Direct,awong,981,0,Kea Services,Healthcare,19,0,1/07/2025,1,17
D200294,C100779,10/04/2024,16/06/2024,Closed Won,PM,People Management,Direct,shao,1937,0,Kea Services,Education,26,1,1/07/2024,1,15
D200300,C101497,18/03/2025,27/03/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,211,0,Beta Ohomairangi Trust,Education,1,0,1/05/2025,1,35
D200301,C102613,8/07/2024,1/10/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dt,2378,0,Kea Partners,Retail,2,1,1/11/2024,1,31
D200302,C103763,12/03/2025,13/05/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,shao,2617,0,Rimu Tui Services,Construction,78,0,1/06/2025,1,19
D200303,C103008,28/08/2024,8/09/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,548,0,Kea Kea Group,Construction,21,0,1/10/2024,1,23
D200305,C104733,13/02/2025,30/03/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dt,580,0,Tui Co.,Retail,22,0,1/05/2025,1,32
D200307,C103037,6/12/2024,1/01/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,unassigned,6146,0,Duncan Air Partners,Retail,27,0,1/01/2025,1,0
D200313,C104079,10/08/2024,19/09/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,awong,2904,0,Rimu Wenita Partners,Accounting,1,0,1/10/2024,1,12
D200316,C104456,30/03/2024,17/04/2024,Closed Won,PM,People Management,Partners,awong,358,0,Tui Limited,Legal,1,0,1/05/2024,1,14
D200318,C104059,18/09/2024,15/10/2024,Closed Won,PM,People Management,Partners,shao,1366,1,Kea Holdings,Healthcare,31,0,1/11/2024,1,17
D200319,C100098,26/10/2024,11/11/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dinkster,4457,0,Beta Partners,Accounting,57,0,1/12/2024,1,20
D200323,C103903,18/08/2024,4/10/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dinkster,2145,0,Summit Eurotec Holdings,Education,84,1,1/11/2024,1,28
D200324,C103737,16/08/2024,24/10/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dt,1764,0,Ohomairangi Trust,Legal,47,0,1/11/2024,1,8
D200325,C103968,22/11/2024,10/02/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dt,3605,0,Duncan Air Group,Accounting,47,0,1/03/2025,1,19
D200327,C103736,9/01/2024,16/01/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dinkster,879,0,Pivot Alpha Limited,Retail,8,0,1/02/2024,1,16
D200329,C103384,11/04/2025,15/06/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,awong,5729,0,Duncan Air Co.,Healthcare,31,1,1/07/2025,1,16
D200330,C100074,10/10/2024,29/12/2024,Closed Won,PM,People Management,Partners,awong,1120,0,Alpha Rimu Services,Construction,1,0,1/01/2025,1,3
D200331,C100127,13/10/2024,16/10/2024,Closed Won,PM,People Management,Partners,mkoenen,1472,0,Summit Trust,Healthcare,1,0,1/11/2024,1,16
D200332,C101032,26/10/2024,29/12/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dt,1920,0,Summit Duncan Air Ltd,Healthcare,18,1,1/02/2025,1,34
D200338,C103044,9/04/2024,25/04/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dinkster,3766,0,Tui Kauri Trust,Education,34,0,1/06/2024,1,37
D200339,C101620,7/06/2024,26/07/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,813,0,Duncan Air Harbour Ltd,Accounting,77,0,1/08/2024,1,6
D200341,C100221,20/05/2024,22/05/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,shao,894,0,Eurotec Partners,Construction,3,0,1/06/2024,1,10
D200342,C101053,29/06/2024,24/09/2024,Closed Won,PM,People Management,Partners,shao,1984,0,Kea Trust,Manufacturing,1,0,1/10/2024,1,7
D200344,C104676,14/11/2024,3/12/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,630,0,Wenita Trust,Healthcare,15,0,1/01/2025,1,29
D200345,C101263,15/02/2025,9/05/2025,Closed Won,PM,People Management,Direct,dt,1792,0,Ohomairangi Harbour Partners,Retail,1,0,1/06/2025,1,23
D200347,C102730,24/06/2024,28/06/2024,Closed Won,PM,People Management,Direct,mkoenen,561,0,Duncan Air Holdings,Retail,1,0,1/07/2024,1,3
D200348,C103695,4/08/2024,11/09/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,1792,0,Atlas Ltd,Legal,71,0,1/10/2024,1,20
D200349,C102167,8/09/2024,2/11/2024,Closed Won,PM,People Management,Direct,awong,1233,0,Wenita Holdings,Software,30,0,1/12/2024,1,29
D200350,C102438,20/03/2025,14/06/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,216,0,Beta Holdings,Healthcare,1,0,1/07/2025,1,17
D200351,C102377,23/01/2025,5/02/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,awong,2154,0,Tui Limited,Manufacturing,66,0,1/03/2025,1,24
