case,choice_air,choice_bus,choice_car,choice_train,cost_air,cost_bus,cost_car,cost_train,freq_air,freq_bus,freq_car,freq_train,ivt_air,ivt_bus,ivt_car,ivt_train,ovt_air,ovt_bus,ovt_car,ovt_train,income,chosen,chosen_encoded
131,0,0,1,0,146.2,26.67,76.76,60.25,9,8,0,2,56,301,265,316,94,93,0,74,70,car,2
132,0,0,0,1,151.2,27.82,69.35,60.85,9,8,0,4,56,301,245,237,77,83,0,94,70,train,3
133,1,0,0,0,151.2,27.82,69.35,60.85,9,8,0,4,56,301,245,237,77,83,0,94,55,air,0
134,1,0,0,0,151.2,27.82,69.35,60.85,9,8,0,4,56,301,245,237,77,83,0,94,55,air,0
135,1,0,0,0,151.2,27.82,69.35,60.85,9,8,0,4,56,301,245,237,77,83,0,94,70,air,0
136,0,0,1,0,151.2,27.82,69.35,60.85,9,8,0,4,56,301,245,237,77,83,0,94,70,car,2
137,0,0,1,0,151.2,27.82,69.35,60.85,9,8,0,4,56,301,245,237,77,83,0,94,45,car,2
138,0,0,1,0,151.2,27.82,69.35,60.85,9,8,0,4,56,301,245,237,77,83,0,94,70,car,2
139,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,35,train,3
140,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,15,train,3
141,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,55,train,3
142,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,train,3
143,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,train,3
144,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,45,train,3
145,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,train,3
146,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,35,train,3
147,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,train,3
148,0,0,0,1,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,45,train,3
149,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,air,0
150,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,air,0
151,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,air,0
152,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,air,0
153,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,air,0
154,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,air,0
155,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,55,air,0
156,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,air,0
157,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,55,air,0
158,1,0,0,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,air,0
159,0,0,1,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,35,car,2
160,0,0,1,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,55,car,2
161,0,0,1,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,car,2
162,0,0,1,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,car,2
163,0,0,1,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,70,car,2
164,0,0,1,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,35,car,2
165,0,0,1,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,31,car,2
166,0,0,1,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,25,car,2
167,0,0,1,0,155.8,27.34,67.26,59.0,9,8,0,4,56,301,231,237,97,68,0,69,25,car,2
168,0,0,0,1,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,15,train,3
169,0,0,0,1,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,15,train,3
170,1,0,0,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,70,air,0
171,1,0,0,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,55,air,0
172,1,0,0,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,70,air,0
173,1,0,0,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,70,air,0
174,1,0,0,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,70,air,0
175,0,0,1,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,25,car,2
176,0,0,1,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,70,car,2
177,0,0,1,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,45,car,2
178,0,0,1,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,55,car,2
179,0,0,1,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,55,car,2
180,0,0,1,0,152.65,27.27,68.78,61.35,9,8,0,4,56,301,242,237,93,83,0,94,70,car,2
181,0,0,0,1,154.45,27.42,69.35,60.85,9,8,0,4,56,301,245,237,99,86,0,94,45,train,3
182,0,0,0,1,154.45,27.42,69.35,60.85,9,8,0,4,56,301,245,237,99,86,0,94,70,train,3
183,1,0,0,0,154.45,27.42,69.35,60.85,9,8,0,4,56,301,245,237,99,86,0,94,70,air,0
184,1,0,0,0,154.45,27.42,69.35,60.85,9,8,0,4,56,301,245,237,99,86,0,94,70,air,0
185,0,0,1,0,154.45,27.42,69.35,60.85,9,8,0,4,56,301,245,237,99,86,0,94,25,car,2
186,0,0,1,0,154.45,27.42,69.35,60.85,9,8,0,4,56,301,245,237,99,86,0,94,45,car,2
187,0,0,1,0,154.45,27.42,69.35,60.85,9,8,0,4,56,301,245,237,99,86,0,94,70,car,2
188,0,0,1,0,154.45,27.42,69.35,60.85,9,8,0,4,56,301,245,237,99,86,0,94,25,car,2
189,0,0,1,0,154.45,27.42,69.35,60.85,9,8,0,4,56,301,245,237,99,86,0,94,45,car,2
190,0,0,1,0,146.2,26.67,71.63,61.85,9,8,0,4,56,301,262,237,84,88,0,108,45,car,2
191,1,0,0,0,154.2,31.67,72.2,62.85,9,8,0,4,56,301,265,237,104,93,0,112,70,air,0
192,1,0,0,0,154.2,31.67,72.2,62.85,9,8,0,4,56,301,265,237,104,93,0,112,70,air,0
193,0,0,1,0,154.2,31.67,72.2,62.85,9,8,0,4,56,301,265,237,104,93,0,112,45,car,2
194,0,0,1,0,154.2,31.67,72.2,62.85,9,8,0,4,56,301,265,237,104,93,0,112,35,car,2
195,0,0,1,0,154.2,31.67,72.2,62.85,9,8,0,4,56,301,265,237,104,93,0,112,70,car,2
196,0,0,1,0,155.2,26.67,72.2,61.85,9,8,0,4,56,301,265,237,99,83,0,94,45,car,2
197,0,0,1,0,150.2,26.67,77.71,62.85,9,8,0,4,56,301,276,237,114,113,0,124,55,car,2
198,0,0,1,0,150.2,26.67,77.71,62.85,9,8,0,4,56,301,276,237,114,113,0,124,70,car,2
199,0,0,1,0,150.2,26.67,74.67,62.85,9,8,0,4,56,301,258,237,109,103,0,112,70,car,2
243,0,0,0,1,146.9,30.37,67.45,59.0,9,8,0,4,56,301,256,215,91,79,0,85,70,train,3
244,0,0,1,0,146.9,30.37,67.45,59.0,9,8,0,4,56,301,256,215,91,79,0,85,70,car,2
245,1,0,0,0,155.3,30.67,65.17,61.6,9,8,0,4,56,301,240,237,83,99,0,105,55,air,0
246,0,0,0,1,159.9,30.19,63.08,59.75,9,8,0,4,56,301,226,237,103,84,0,80,70,train,3
247,1,0,0,0,156.75,30.12,64.6,62.1,9,8,0,4,56,301,237,237,99,99,0,105,70,air,0
248,1,0,0,0,156.75,30.12,64.6,62.1,9,8,0,4,56,301,237,237,99,99,0,105,70,air,0
249,0,0,1,0,158.3,34.52,68.02,63.6,9,8,0,4,56,301,260,237,110,109,0,123,35,car,2
250,1,0,0,0,154.3,29.52,70.3,63.6,9,8,0,4,56,301,276,237,115,129,0,135,70,air,0
251,0,0,1,0,154.3,29.52,73.53,63.6,9,8,0,4,56,301,271,237,120,129,0,135,70,car,2
271,0,0,1,0,146.9,30.57,55.86,60.0,9,8,0,4,56,301,211,215,111,90,0,95,55,car,2
272,0,0,0,1,159.9,30.39,51.49,60.75,9,8,0,4,56,301,181,237,123,95,0,90,70,train,3
273,0,0,0,1,159.9,30.39,51.49,60.75,9,8,0,4,56,301,181,237,123,95,0,90,70,train,3
274,0,0,0,1,159.9,30.39,51.49,60.75,9,8,0,4,56,301,181,237,123,95,0,90,55,train,3
275,0,0,1,0,159.9,30.39,51.49,60.75,9,8,0,4,56,301,181,237,123,95,0,90,70,car,2
276,0,0,1,0,159.9,30.39,51.49,60.75,9,8,0,4,56,301,181,237,123,95,0,90,35,car,2
277,0,0,1,0,156.75,30.32,53.01,63.1,9,8,0,4,56,301,192,237,119,110,0,115,25,car,2
285,0,0,0,1,154.4,25.71,55.67,50.75,4,2,0,4,50,316,199,187,113,90,0,75,70,train,3
286,0,0,1,0,154.4,25.71,55.67,50.75,4,2,0,4,50,316,199,187,113,90,0,75,70,car,2
325,0,0,1,0,135.1,21.89,55.67,45.1,4,2,0,1,50,316,211,165,76,60,0,80,25,car,2
326,0,0,1,0,135.1,21.89,55.67,45.1,4,2,0,1,50,316,211,165,76,60,0,80,70,car,2
327,0,0,1,0,135.1,21.89,55.67,45.1,4,2,0,1,50,316,211,165,76,60,0,80,35,car,2
328,0,0,1,0,135.1,21.89,55.67,45.1,4,2,0,1,50,316,211,165,76,60,0,80,70,car,2
329,0,0,0,1,138.1,21.04,57.57,45.1,4,2,0,3,50,316,200,205,76,55,0,65,70,train,3
330,0,0,1,0,138.1,21.04,57.57,45.1,4,2,0,3,50,316,200,205,76,55,0,65,35,car,2
331,0,0,1,0,138.1,21.04,57.57,45.1,4,2,0,3,50,316,200,205,76,55,0,65,70,car,2
332,0,0,1,0,143.5,22.19,53.39,48.5,4,2,0,4,50,316,195,187,68,80,0,100,55,car,2
333,0,0,1,0,143.5,22.19,53.39,48.5,4,2,0,4,50,316,195,187,68,80,0,100,70,car,2
334,0,0,1,0,143.5,22.19,53.39,48.5,4,2,0,4,50,316,195,187,68,80,0,100,70,car,2
335,0,0,1,0,143.5,22.19,53.39,48.5,4,2,0,4,50,316,195,187,68,80,0,100,35,car,2
336,0,0,1,0,143.5,22.19,53.39,48.5,4,2,0,4,50,316,195,187,68,80,0,100,31,car,2
337,0,0,1,0,148.1,21.71,51.3,46.65,4,2,0,4,50,316,181,187,88,65,0,75,55,car,2
338,0,0,1,0,148.1,21.71,51.3,46.65,4,2,0,4,50,316,181,187,88,65,0,75,35,car,2
339,0,0,1,0,148.1,21.71,51.3,46.65,4,2,0,4,50,316,181,187,88,65,0,75,35,car,2
340,0,0,1,0,144.95,21.64,52.82,49.0,4,2,0,4,50,316,192,187,84,80,0,100,70,car,2
341,0,0,1,0,144.95,21.64,52.82,49.0,4,2,0,4,50,316,192,187,84,80,0,100,45,car,2
342,0,0,1,0,144.95,21.64,52.82,49.0,4,2,0,4,50,316,192,187,84,80,0,100,70,car,2
343,0,0,1,0,146.75,21.79,53.39,48.5,4,2,0,4,50,316,195,187,90,83,0,100,25,car,2
344,0,0,1,0,146.75,21.79,53.39,48.5,4,2,0,4,50,316,195,187,90,83,0,100,35,car,2
360,0,0,1,0,154.4,22.21,50.35,50.15,4,2,0,4,50,316,183,187,103,80,0,90,55,car,2
361,0,0,1,0,154.4,22.21,50.35,50.15,4,2,0,4,50,316,183,187,103,80,0,90,25,car,2
370,0,0,1,0,132.75,11.23,28.5,32.75,25,7,0,5,40,109,112,92,120,86,0,75,35,car,2
371,0,0,1,0,132.75,11.23,28.5,32.75,25,7,0,5,40,109,112,92,120,86,0,75,25,car,2
372,0,0,1,0,129.0,17.4,45.03,40.35,25,12,0,4,40,152,164,138,101,91,0,65,70,car,2
373,0,0,1,0,134.4,18.55,40.85,43.75,25,12,0,12,40,152,159,120,93,116,0,100,70,car,2
374,0,0,1,0,134.4,18.55,40.85,43.75,25,12,0,12,40,152,159,120,93,116,0,100,35,car,2
375,0,0,0,1,139.0,18.07,38.76,41.9,25,12,0,12,40,152,144,120,113,101,0,75,55,train,3
376,0,0,0,1,139.0,18.07,38.76,41.9,25,12,0,12,40,152,144,120,113,101,0,75,70,train,3
377,0,0,0,1,139.0,18.07,38.76,41.9,25,12,0,12,40,152,144,120,113,101,0,75,55,train,3
378,0,0,0,1,139.0,18.07,38.76,41.9,25,12,0,12,40,152,144,120,113,101,0,75,45,train,3
379,1,0,0,0,139.0,18.07,38.76,41.9,25,12,0,12,40,152,144,120,113,101,0,75,70,air,0
380,0,0,1,0,139.0,18.07,38.76,41.9,25,12,0,12,40,152,144,120,113,101,0,75,28,car,2
381,0,0,1,0,139.0,18.07,38.76,41.9,25,12,0,12,40,152,144,120,113,101,0,75,25,car,2
382,0,0,1,0,133.4,24.88,61.94,53.75,25,1,0,12,40,346,226,120,140,96,0,120,45,car,2
384,1,0,0,0,175.6,42.6,111.53,92.75,5,7,0,2,96,515,406,434,100,99,0,90,70,air,0
385,1,0,0,0,175.6,42.6,111.53,92.75,5,7,0,2,96,515,406,434,100,99,0,90,70,air,0
386,0,0,0,1,172.2,43.8,117.99,90.75,5,7,0,2,96,515,413,434,95,98,0,79,45,train,3
387,0,0,0,1,172.2,43.8,117.99,90.75,5,7,0,2,96,515,413,434,95,98,0,79,45,train,3
388,0,0,1,0,172.2,43.8,117.99,90.75,5,7,0,2,96,515,413,434,95,98,0,79,70,car,2
389,1,0,0,0,173.6,43.6,119.89,92.45,5,7,0,2,96,515,426,434,95,101,0,80,55,air,0
411,0,0,1,0,130.9,26.7,27.93,38.5,25,5,0,5,40,265,115,92,120,60,0,85,70,car,2
419,0,0,1,0,136.2,25.7,34.01,40.5,25,5,0,5,40,265,133,92,135,55,0,90,55,car,2
420,0,0,1,0,136.2,25.7,34.01,40.5,25,5,0,5,40,265,133,92,135,55,0,90,70,car,2
421,0,0,1,0,136.2,25.7,34.01,40.5,25,5,0,5,40,265,133,92,135,55,0,90,45,car,2
422,0,0,1,0,136.2,25.7,34.01,40.5,25,5,0,5,40,265,133,92,135,55,0,90,45,car,2
483,0,0,1,0,135.9,26.7,37.24,44.05,25,5,0,5,40,265,148,92,137,60,0,95,35,car,2
484,0,0,1,0,135.9,26.7,37.24,44.05,25,5,0,5,40,265,148,92,137,60,0,95,70,car,2
485,0,0,1,0,135.9,26.7,37.24,44.05,25,5,0,5,40,265,148,92,137,60,0,95,55,car,2
495,1,0,0,0,166.5,43.0,104.69,85.95,36,6,0,3,58,433,362,367,142,67,0,104,45,air,0
496,1,0,0,0,167.9,42.8,106.59,87.65,36,6,0,3,58,433,375,367,142,70,0,105,70,air,0
498,0,0,1,0,150.9,27.31,37.62,42.5,25,6,0,5,40,295,144,92,140,55,0,100,70,car,2
499,0,0,1,0,150.9,27.31,37.62,42.5,25,6,0,5,40,295,144,92,140,55,0,100,26,car,2
500,0,0,1,0,150.9,27.31,37.62,42.5,25,6,0,5,40,295,144,92,140,55,0,100,35,car,2
501,0,0,1,0,150.9,27.31,37.62,42.5,25,6,0,5,40,295,144,92,140,55,0,100,35,car,2
531,0,0,0,1,181.5,42.05,105.07,84.4,36,6,0,3,58,433,359,367,145,62,0,109,35,train,3
532,1,0,0,0,181.5,42.05,105.07,84.4,36,6,0,3,58,433,359,367,145,62,0,109,70,air,0
533,1,0,0,0,181.5,42.05,105.07,84.4,36,6,0,3,58,433,359,367,145,62,0,109,35,air,0
534,0,0,0,1,187.9,40.85,106.02,87.4,36,6,0,3,58,433,365,367,150,60,0,115,45,train,3
536,1,0,0,0,211.25,26.71,128.63,90.5,45,4,0,3,69,536,416,394,163,60,0,115,45,air,0
571,0,0,1,0,126.0,18.25,40.85,50.55,25,12,0,4,40,152,167,144,86,70,0,101,35,car,2
572,0,0,1,0,129.0,17.4,42.75,55.55,25,12,0,4,40,152,156,144,86,65,0,107,55,car,2
573,0,0,1,0,134.4,18.55,38.57,45.55,25,12,0,4,40,152,151,144,78,90,0,102,70,car,2
574,0,0,0,1,139.0,18.07,36.48,43.7,25,12,0,4,40,152,137,144,98,75,0,77,45,train,3
575,0,0,0,1,139.0,18.07,36.48,43.7,25,12,0,4,40,152,137,144,98,75,0,77,45,train,3
576,0,0,1,0,139.0,18.07,36.48,43.7,25,12,0,4,40,152,137,144,98,75,0,77,15,car,2
615,0,0,0,1,126.9,11.38,25.46,36.5,25,7,0,5,40,109,107,92,115,65,0,80,70,train,3
616,0,0,1,0,126.9,11.38,25.46,36.5,25,7,0,5,40,109,107,92,115,65,0,80,35,car,2
617,0,0,1,0,126.9,11.38,25.46,36.5,25,7,0,5,40,109,107,92,115,65,0,80,45,car,2
618,0,1,0,0,122.9,11.73,23.75,34.5,25,7,0,5,40,109,101,92,119,60,0,70,35,bus,1
619,0,0,1,0,122.9,11.73,23.75,34.5,25,7,0,5,40,109,101,92,119,60,0,70,26,car,2
620,0,0,1,0,122.9,11.73,23.75,34.5,25,7,0,5,40,109,101,92,119,60,0,70,35,car,2
621,0,0,1,0,122.9,11.73,23.75,34.5,25,7,0,5,40,109,101,92,119,60,0,70,70,car,2
622,0,0,1,0,122.9,11.73,23.75,34.5,25,7,0,5,40,109,101,92,119,60,0,70,70,car,2
623,0,0,1,0,122.9,11.73,23.75,34.5,25,7,0,5,40,109,101,92,119,60,0,70,25,car,2
624,0,0,1,0,122.9,11.73,23.75,34.5,25,7,0,5,40,109,101,92,119,60,0,70,70,car,2
625,0,0,1,0,122.9,11.73,23.75,34.5,25,7,0,5,40,109,101,92,119,60,0,70,55,car,2
626,0,0,1,0,126.9,11.38,24.7,36.5,25,7,0,5,40,109,106,92,115,70,0,80,70,car,2
627,0,0,1,0,126.9,11.38,25.46,33.5,25,7,0,5,40,109,109,92,105,65,0,70,70,car,2
628,0,0,0,1,126.25,10.73,25.46,29.5,25,7,0,5,40,109,107,92,100,55,0,65,70,train,3
629,0,0,1,0,126.25,10.73,25.46,29.5,25,7,0,5,40,109,107,92,100,55,0,65,29,car,2
630,0,0,1,0,126.25,10.73,25.46,29.5,25,7,0,5,40,109,107,92,100,55,0,65,45,car,2
631,0,0,1,0,126.25,10.73,25.46,29.5,25,7,0,5,40,109,107,92,100,55,0,65,70,car,2
632,0,0,0,1,122.9,10.38,28.69,31.1,25,7,0,8,40,109,121,98,90,58,0,59,70,train,3
633,0,0,0,1,122.9,10.38,28.69,31.1,25,7,0,8,40,109,121,98,90,58,0,59,70,train,3
634,0,0,0,1,122.9,10.38,28.69,31.1,25,7,0,8,40,109,121,98,90,58,0,59,70,train,3
635,0,0,1,0,122.9,10.38,28.69,31.1,25,7,0,8,40,109,121,98,90,58,0,59,55,car,2
636,0,0,1,0,122.9,10.38,28.69,31.1,25,7,0,8,40,109,121,98,90,58,0,59,70,car,2
637,0,0,1,0,122.9,10.38,28.69,31.1,25,7,0,8,40,109,121,98,90,58,0,59,35,car,2
638,0,0,1,0,122.9,10.38,28.69,31.1,25,7,0,8,40,109,121,98,90,58,0,59,55,car,2
640,1,0,0,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,45,air,0
641,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,35,car,2
642,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,45,car,2
643,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,45,car,2
644,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,70,car,2
645,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,25,car,2
646,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,55,car,2
647,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,70,car,2
648,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,55,car,2
649,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,70,car,2
650,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,70,car,2
651,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,15,car,2
652,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,55,car,2
653,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,55,car,2
654,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,35,car,2
655,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,70,car,2
656,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,70,car,2
657,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,70,car,2
658,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,70,car,2
659,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,45,car,2
660,0,0,1,0,119.5,17.75,40.09,32.1,25,12,0,8,40,152,170,98,81,65,0,70,70,car,2
661,0,0,0,1,122.5,16.9,41.99,37.1,25,12,0,4,40,152,159,138,81,60,0,55,5,train,3
662,0,0,1,0,122.5,16.9,41.99,37.1,25,12,0,4,40,152,159,138,81,60,0,55,70,car,2
663,0,0,1,0,122.5,16.9,41.99,37.1,25,12,0,4,40,152,159,138,81,60,0,55,45,car,2
664,0,0,0,1,122.9,16.9,45.22,39.1,25,12,0,4,40,152,173,138,90,95,0,70,70,train,3
665,0,0,0,1,127.9,18.05,37.81,40.5,25,12,0,12,40,152,153,120,73,85,0,90,15,train,3
666,0,0,0,1,127.9,18.05,37.81,40.5,25,12,0,12,40,152,153,120,73,85,0,90,70,train,3
667,0,0,1,0,127.9,18.05,37.81,40.5,25,12,0,12,40,152,153,120,73,85,0,90,35,car,2
668,0,0,1,0,127.9,18.05,37.81,40.5,25,12,0,12,40,152,153,120,73,85,0,90,70,car,2
669,0,0,1,0,127.9,18.05,37.81,40.5,25,12,0,12,40,152,153,120,73,85,0,90,70,car,2
670,0,0,1,0,127.9,18.05,37.81,40.5,25,12,0,12,40,152,153,120,73,85,0,90,70,car,2
671,0,0,1,0,127.9,18.05,37.81,40.5,25,12,0,12,40,152,153,120,73,85,0,90,25,car,2
672,0,0,1,0,127.9,18.05,37.81,40.5,25,12,0,12,40,152,153,120,73,85,0,90,70,car,2
673,0,0,1,0,127.9,18.05,37.81,40.5,25,12,0,12,40,152,153,120,73,85,0,90,70,car,2
674,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,70,train,3
675,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,45,train,3
676,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,25,train,3
677,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,35,train,3
678,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,25,train,3
679,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,55,train,3
680,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,70,train,3
681,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,70,train,3
682,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,70,train,3
683,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,35,train,3
684,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,55,train,3
685,0,0,0,1,132.5,17.57,35.72,38.65,25,12,0,12,40,152,139,120,93,70,0,65,70,train,3
