weekly,sin_week,cos_week
2022-10-17,-1.0,-1.8369701987210297e-16
2022-10-24,-2.4492935982947064e-16,1.0
2022-10-31,1.0,3.061616997868383e-16
2022-11-07,1.0,6.123233995736766e-17
2022-11-14,1.2246467991473532e-16,-1.0
2022-11-21,-1.0,-1.8369701987210297e-16
2022-11-28,-2.4492935982947064e-16,1.0
2022-12-05,1.0,6.123233995736766e-17
2022-12-12,1.2246467991473532e-16,-1.0
2022-12-19,-1.0,-1.8369701987210297e-16
2022-12-26,-2.4492935982947064e-16,1.0
2023-01-02,1.0,6.123233995736766e-17
2023-01-09,1.2246467991473532e-16,-1.0
2023-01-16,-1.0,-1.8369701987210297e-16
2023-01-23,-2.4492935982947064e-16,1.0
2023-01-30,1.0,3.061616997868383e-16
2023-02-06,1.0,6.123233995736766e-17
2023-02-13,1.2246467991473532e-16,-1.0
2023-02-20,-1.0,-1.8369701987210297e-16
2023-02-27,-2.4492935982947064e-16,1.0
2023-03-06,1.0,6.123233995736766e-17
2023-03-13,1.2246467991473532e-16,-1.0
2023-03-20,-1.0,-1.8369701987210297e-16
2023-03-27,-2.4492935982947064e-16,1.0
2023-04-03,1.0,6.123233995736766e-17
2023-04-10,1.2246467991473532e-16,-1.0
2023-04-17,-1.0,-1.8369701987210297e-16
2023-04-24,-2.4492935982947064e-16,1.0
2023-05-01,1.0,6.123233995736766e-17
2023-05-08,1.2246467991473532e-16,-1.0
2023-05-15,-1.0,-1.8369701987210297e-16
2023-05-22,-2.4492935982947064e-16,1.0
2023-05-29,1.0,3.061616997868383e-16
2023-06-05,1.0,6.123233995736766e-17
2023-06-12,1.2246467991473532e-16,-1.0
2023-06-19,-1.0,-1.8369701987210297e-16
2023-06-26,-2.4492935982947064e-16,1.0
2023-07-03,1.0,6.123233995736766e-17
2023-07-10,1.2246467991473532e-16,-1.0
2023-07-17,-1.0,-1.8369701987210297e-16
2023-07-24,-2.4492935982947064e-16,1.0
2023-07-31,1.0,3.061616997868383e-16
2023-08-07,1.0,6.123233995736766e-17
2023-08-14,1.2246467991473532e-16,-1.0
2023-08-21,-1.0,-1.8369701987210297e-16
2023-08-28,-2.4492935982947064e-16,1.0
2023-09-04,1.0,6.123233995736766e-17
2023-09-11,1.2246467991473532e-16,-1.0
2023-09-18,-1.0,-1.8369701987210297e-16
2023-09-25,-2.4492935982947064e-16,1.0
2023-10-02,1.0,6.123233995736766e-17
