company_id,company_name,industry,employee_count,is_partner
C100128,Ohomairangi Services,Construction,1,0
C100129,Kauri Kea Co.,Software,30,0
C100130,Ohomairangi Ltd,Software,44,0
C100131,Ohomairangi Ltd,Software,37,0
C100132,Kea Nimbus Services,Software,26,0
C100133,Summit Services,Construction,4,1
C100134,Eurotec Holdings,Healthcare,23,0
C100135,Ohomairangi Duncan Air Limited,Software,29,0
C100136,Kauri Services,Manufacturing,1,0
C100137,Rimu Services,Healthcare,23,0
C100138,Pivot Group,Construction,16,0
C100139,Pivot Trust,Accounting,77,0
C100140,Nimbus Nimbus Services,Healthcare,1,0
C100141,Harbour Services,Legal,36,0
C100142,Rimu Co.,Education,44,0
C100143,Duncan Air Co.,Retail,1,0
C100144,Atlas Group,Software,40,0
C100145,Beta Services,Construction,21,0
C100146,Wenita Group,Retail,79,1
C100147,Tui Partners,Retail,1,0
C100148,Ohomairangi Co.,Legal,1,0
C100149,Nimbus Limited,Education,1,0
C100150,Rimu Limited,Retail,75,0
C100151,Kauri Wenita Trust,Accounting,18,1
C100152,Tui Partners,Legal,4,0
C100153,Kauri Group,Healthcare,34,1
C100154,Nimbus Holdings,Software,39,0
C100155,Tui Atlas Ltd,Software,16,0
C100156,Kauri Limited,Software,108,0
C100157,Wenita Trust,Software,1,0
C100158,Harbour Ohomairangi Services,Construction,28,0
C100159,Tui Ltd,Retail,63,0
C100160,Atlas Ltd,Software,57,0
C100161,Eurotec Kea Holdings,Education,1,0
C100162,Wenita Group,Construction,60,0
C100163,Nimbus Partners,Healthcare,1,0
C100164,Wenita Harbour Group,Education,50,0
C100165,Duncan Air Trust,Healthcare,52,0
C100166,Summit Trust,Legal,36,1
C100167,Rimu Co.,Legal,1,0
C100168,Tui Limited,Software,1,0
C100169,Atlas Partners,Construction,61,0
C100170,Nimbus Partners,Education,1,0
C100171,Atlas Co.,Construction,1,0
C100172,Tui Services,Construction,76,0
C100173,Atlas Co.,Healthcare,60,0
C100174,Ohomairangi Services,Retail,47,0
C100175,Summit Rimu Partners,Construction,15,0
C100176,Duncan Air Partners,Accounting,9,0
C100177,Summit Limited,Education,36,0
C100178,Alpha Ltd,Legal,25,0
C100179,Eurotec Pivot Holdings,Education,40,0
C100180,Eurotec Kauri Ltd,Manufacturing,35,0
C100181,Kauri Beta Ltd,Healthcare,11,1
C100182,Rimu Partners,Accounting,29,0
C100183,Wenita Limited,Software,33,0
C100184,Nimbus Limited,Software,1,1
C100185,Ohomairangi Trust,Software,23,0
C100186,Summit Ohomairangi Co.,Retail,11,0
C100187,Beta Kea Group,Construction,1,0
C100188,Nimbus Partners,Retail,61,0
C100189,Beta Limited,Education,23,0
C100190,Harbour Partners,Software,1,0
C100191,Tui Partners,Healthcare,53,0
C100192,Beta Limited,Construction,1,0
C100193,Alpha Nimbus Partners,Construction,45,0
C100194,Eurotec Co.,Accounting,64,0
C100195,Rimu Group,Software,16,0
C100196,Ohomairangi Pivot Partners,Construction,28,0
C100197,Eurotec Ltd,Manufacturing,1,1
C100198,Eurotec Tui Partners,Legal,85,0
C100199,Kauri Ltd,Construction,27,0
C100200,Harbour Summit Partners,Healthcare,1,0
C100201,Beta Ltd,Healthcare,59,0
C100202,Atlas Limited,Manufacturing,1,0
C100203,Rimu Limited,Legal,36,0
C100204,Atlas Nimbus Services,Manufacturing,53,0
C100205,Tui Rimu Group,Manufacturing,33,0
C100206,Summit Wenita Co.,Healthcare,50,0
C100207,Atlas Partners,Construction,51,0
C100208,Harbour Ltd,Software,77,0
C100209,Wenita Co.,Manufacturing,1,0
C100210,Kea Kauri Services,Legal,74,0
C100211,Pivot Limited,Retail,55,0
C100212,Rimu Partners,Healthcare,62,0
C100213,Eurotec Kea Partners,Healthcare,44,0
C100214,Rimu Kauri Group,Construction,47,0
C100215,Eurotec Services,Legal,71,0
C100216,Kauri Services,Construction,1,0
C100217,Kea Limited,Manufacturing,33,0
C100218,Kea Ohomairangi Trust,Construction,1,0
C100219,Harbour Services,Accounting,1,0
C100220,Atlas Holdings,Legal,1,0
C100221,Eurotec Partners,Construction,3,0
C100222,Rimu Wenita Services,Software,1,0
C100223,Harbour Co.,Legal,18,0
C100224,Atlas Atlas Partners,Construction,6,0
C100225,Ohomairangi Atlas Group,Legal,58,0
C100226,Duncan Air Partners,Manufacturing,70,0
C100227,Beta Trust,Retail,15,0
C100228,Kauri Limited,Retail,19,0
C100229,Kea Services,Education,24,0
C100230,Beta Tui Limited,Accounting,1,0
C100231,Kauri Group,Healthcare,1,0
C100232,Eurotec Group,Software,52,0
C100233,Nimbus Trust,Software,32,0
C100234,Eurotec Eurotec Services,Education,1,0
C100235,Tui Co.,Retail,78,0
C100236,Eurotec Group,Manufacturing,57,0
C100237,Wenita Limited,Manufacturing,36,0
C100238,Summit Duncan Air Group,Retail,80,0
C100239,Duncan Air Ltd,Retail,60,1
C100240,Rimu Co.,Construction,19,0
C100241,Atlas Partners,Healthcare,30,0
C100242,Ohomairangi Summit Group,Software,22,1
C100243,Ohomairangi Kauri Co.,Construction,25,0
C100244,Beta Alpha Holdings,Retail,1,1
C100245,Summit Ltd,Education,1,0
C100246,Alpha Nimbus Partners,Education,7,0
C100247,Kea Limited,Accounting,16,0
C100248,Atlas Co.,Legal,24,0
C100249,Wenita Limited,Legal,30,0
C100250,Kea Group,Software,58,0
C100251,Wenita Eurotec Services,Accounting,20,0
C100252,Rimu Duncan Air Ltd,Legal,57,0
C100253,Tui Ltd,Education,10,0
C100254,Alpha Partners,Manufacturing,45,0
C100255,Duncan Air Co.,Legal,45,0
C100256,Summit Partners,Manufacturing,40,1
C100257,Ohomairangi Group,Manufacturing,1,0
C100258,Atlas Tui Trust,Software,1,0
C100259,Alpha Partners,Retail,5,0
C100260,Alpha Limited,Retail,1,0
C100261,Kauri Services,Accounting,65,0
C100262,Atlas Kea Partners,Retail,32,0
C100263,Kea Partners,Software,22,0
C100264,Pivot Partners,Retail,15,0
C100265,Kauri Summit Co.,Construction,47,0
C100266,Summit Rimu Trust,Software,29,1
C100267,Wenita Summit Limited,Legal,40,0
C100268,Pivot Trust,Manufacturing,53,0
C100269,Eurotec Partners,Education,1,0
C100270,Kauri Rimu Services,Accounting,1,0
C100271,Kauri Limited,Construction,54,0
C100272,Wenita Services,Retail,31,1
C100273,Atlas Limited,Software,1,0
C100274,Kauri Group,Healthcare,1,1
C100275,Kauri Tui Group,Healthcare,52,0
C100276,Kea Trust,Construction,24,0
C100277,Tui Nimbus Limited,Healthcare,67,0
C100278,Kauri Partners,Accounting,28,1
C100279,Nimbus Trust,Education,18,0
C100280,Atlas Ltd,Software,53,0
C100281,Rimu Co.,Manufacturing,1,0
C100282,Kauri Services,Retail,4,0
C100283,Wenita Partners,Legal,27,0
C100284,Kea Pivot Limited,Legal,25,0
C100285,Alpha Tui Co.,Retail,40,0
C100286,Kauri Partners,Legal,31,0
C100287,Duncan Air Trust,Software,41,1
C100288,Pivot Services,Education,31,1
C100289,Duncan Air Services,Manufacturing,52,0
C100290,Harbour Group,Manufacturing,17,0
C100291,Nimbus Holdings,Legal,1,0
C100292,Pivot Summit Trust,Construction,34,0
C100293,Pivot Partners,Healthcare,34,0
C100294,Pivot Ltd,Accounting,71,0
C100295,Kauri Group,Legal,36,0
C100296,Harbour Trust,Legal,1,0
C100297,Summit Ltd,Legal,23,0
C100298,Harbour Nimbus Trust,Accounting,5,0
C100299,Nimbus Holdings,Accounting,11,0
C100300,Atlas Wenita Co.,Healthcare,34,0
C100301,Rimu Ltd,Software,4,0
C100302,Wenita Rimu Co.,Software,59,1
C100303,Rimu Pivot Partners,Software,1,0
C100304,Kauri Services,Legal,1,0
C100305,Eurotec Trust,Software,12,0
C100306,Pivot Tui Holdings,Manufacturing,31,0
C100307,Summit Partners,Manufacturing,1,0
C100308,Pivot Co.,Retail,56,0
C100309,Tui Wenita Limited,Legal,1,0
C100310,Wenita Services,Education,36,0
C100311,Kauri Limited,Education,60,0
C100312,Pivot Holdings,Education,54,0
C100313,Eurotec Kauri Ltd,Healthcare,35,0
C100314,Duncan Air Services,Software,1,0
C100315,Alpha Duncan Air Limited,Education,1,0
C100316,Duncan Air Ltd,Healthcare,1,0
C100317,Ohomairangi Harbour Services,Healthcare,53,0
C100318,Duncan Air Trust,Accounting,63,0
C100319,Tui Services,Software,27,0
C100320,Pivot Summit Trust,Education,34,0
C100321,Wenita Group,Accounting,1,0
C100322,Nimbus Holdings,Healthcare,1,0
C100323,Kea Limited,Retail,1,0
C100324,Kauri Summit Partners,Education,54,0
C100325,Kea Tui Ltd,Manufacturing,26,0
C100326,Alpha Limited,Software,14,0
C100327,Wenita Trust,Construction,53,0
C100328,Kea Holdings,Education,57,0
C100329,Kea Co.,Software,15,0
C100330,Ohomairangi Holdings,Education,7,0
C100331,Pivot Partners,Construction,1,0
C100332,Ohomairangi Pivot Holdings,Healthcare,55,0
C100333,Wenita Services,Construction,75,0
C100334,Alpha Services,Healthcare,1,1
C100335,Eurotec Trust,Accounting,22,0
C100336,Wenita Holdings,Construction,51,1
C100337,Duncan Air Limited,Software,32,1
C100338,Eurotec Group,Retail,1,0
C100339,Harbour Co.,Construction,69,0
C100340,Pivot Group,Legal,94,0
C100341,Rimu Ohomairangi Ltd,Accounting,88,0
C100342,Wenita Co.,Retail,35,0
C100343,Duncan Air Duncan Air Limited,Accounting,4,0
C100344,Eurotec Ltd,Education,28,1
C100345,Wenita Ltd,Education,38,0
C100346,Rimu Holdings,Accounting,85,0
C100347,Nimbus Partners,Legal,98,0
C100348,Atlas Holdings,Retail,21,0
C100349,Duncan Air Group,Retail,35,0
C100350,Kea Atlas Co.,Legal,14,0
C100351,Pivot Summit Holdings,Education,1,0
C100352,Eurotec Services,Accounting,1,0
C100353,Rimu Tui Holdings,Legal,1,0
C100354,Ohomairangi Partners,Construction,1,1
C100355,Nimbus Ltd,Construction,12,0
C100356,Wenita Holdings,Software,41,0
C100357,Rimu Holdings,Construction,88,0
C100358,Duncan Air Holdings,Education,7,0
C100359,Summit Pivot Partners,Manufacturing,38,0
C100360,Summit Services,Construction,40,0
C100361,Rimu Partners,Legal,1,0
C100362,Rimu Group,Accounting,20,0
C100363,Kauri Holdings,Legal,94,0
C100364,Rimu Services,Legal,22,0
C100365,Summit Services,Healthcare,80,0
C100366,Kauri Services,Healthcare,57,0
C100367,Alpha Ohomairangi Limited,Accounting,6,0
C100368,Ohomairangi Holdings,Construction,23,0
C100369,Nimbus Services,Software,21,1
C100370,Harbour Ltd,Accounting,1,0
C100371,Ohomairangi Wenita Co.,Healthcare,20,0
C100372,Kauri Rimu Holdings,Manufacturing,34,0
C100373,Harbour Services,Education,3,0
C100374,Atlas Ohomairangi Limited,Accounting,49,0
C100375,Alpha Wenita Group,Construction,41,0
C100376,Eurotec Partners,Construction,78,0
C100377,Wenita Services,Manufacturing,1,1
C100378,Duncan Air Tui Ltd,Healthcare,48,0
C100379,Eurotec Co.,Construction,13,0
C100380,Nimbus Co.,Legal,1,0
C100381,Beta Partners,Accounting,57,0
C100382,Beta Kea Co.,Legal,48,0
C100383,Kea Co.,Retail,29,0
C100384,Harbour Limited,Manufacturing,39,0
C100385,Wenita Eurotec Group,Retail,1,0
C100386,Alpha Tui Services,Legal,25,0
C100387,Pivot Co.,Construction,11,1
C100388,Beta Partners,Retail,55,0
C100389,Pivot Holdings,Healthcare,27,0
C100390,Tui Tui Trust,Software,36,0
C100391,Eurotec Beta Partners,Manufacturing,39,0
C100392,Summit Holdings,Software,45,0
C100393,Nimbus Co.,Legal,40,0
C100394,Ohomairangi Group,Manufacturing,1,0
C100395,Harbour Partners,Manufacturing,90,0
C100396,Nimbus Holdings,Legal,1,0
C100397,Nimbus Rimu Group,Accounting,63,0
C100398,Wenita Holdings,Software,41,1
C100399,Eurotec Co.,Software,1,0
C100400,Tui Group,Retail,27,0
C100401,Harbour Co.,Accounting,13,0
C100402,Duncan Air Limited,Construction,30,0
C100403,Alpha Co.,Legal,1,0
C100404,Alpha Limited,Manufacturing,33,0
C100405,Rimu Services,Legal,73,0
C100406,Nimbus Group,Legal,59,0
C100407,Beta Limited,Healthcare,24,0
C100408,Eurotec Holdings,Software,17,0
C100409,Beta Trust,Accounting,36,0
C100410,Ohomairangi Kea Limited,Healthcare,69,0
C100411,Kea Co.,Software,3,0
C100412,Kauri Group,Retail,1,0
C100413,Harbour Co.,Accounting,54,0
C100414,Eurotec Wenita Limited,Construction,36,0
C100415,Beta Tui Services,Legal,1,0
C100416,Nimbus Limited,Legal,5,0
C100417,Eurotec Trust,Construction,51,0
C100418,Rimu Trust,Construction,43,0
C100419,Kauri Co.,Retail,67,0
C100420,Wenita Group,Healthcare,8,0
C100421,Alpha Partners,Accounting,26,0
C100422,Harbour Pivot Services,Retail,12,0
C100423,Beta Ltd,Education,1,0
C100424,Pivot Tui Group,Software,1,0
C100425,Nimbus Limited,Manufacturing,4,0
C100426,Kea Ltd,Software,1,0
C100427,Eurotec Holdings,Manufacturing,1,0
C100428,Tui Kea Limited,Software,34,0
C100429,Wenita Nimbus Partners,Retail,13,0
C100430,Rimu Ohomairangi Holdings,Accounting,1,0
C100431,Wenita Tui Trust,Manufacturing,9,0
C100432,Duncan Air Limited,Healthcare,76,0
C100433,Ohomairangi Group,Healthcare,12,0
C100434,Ohomairangi Holdings,Retail,1,0
C100435,Summit Limited,Construction,27,0
C100436,Wenita Partners,Software,50,1
C100437,Wenita Limited,Software,16,0
C100438,Ohomairangi Limited,Retail,31,0
C100439,Ohomairangi Tui Partners,Healthcare,56,0
C100440,Kea Ltd,Accounting,67,0
C100441,Ohomairangi Kauri Services,Software,55,1
C100442,Rimu Group,Manufacturing,62,0
C100443,Tui Limited,Legal,83,0
C100444,Alpha Co.,Manufacturing,17,0
C100445,Beta Alpha Holdings,Software,1,1
C100446,Pivot Services,Accounting,52,0
C100447,Wenita Group,Software,26,1
C100448,Wenita Limited,Construction,1,0
C100449,Eurotec Group,Healthcare,82,1
C100450,Nimbus Group,Software,12,0
C100451,Nimbus Services,Education,41,0
C100452,Eurotec Beta Co.,Legal,50,0
C100453,Beta Rimu Trust,Accounting,19,0
C100454,Tui Holdings,Education,24,1
C100455,Rimu Services,Retail,1,0
C100456,Nimbus Limited,Accounting,94,0
C100457,Nimbus Co.,Legal,19,0
C100458,Summit Eurotec Limited,Accounting,20,0
C100459,Eurotec Co.,Manufacturing,22,0
C100460,Harbour Co.,Retail,57,0
C100461,Tui Beta Holdings,Healthcare,43,0
C100462,Atlas Limited,Manufacturing,9,0
C100463,Beta Duncan Air Co.,Construction,1,0
C100464,Tui Group,Construction,41,1
C100465,Kea Trust,Healthcare,26,0
C100466,Ohomairangi Trust,Construction,25,0
C100467,Beta Tui Limited,Software,17,0
C100468,Summit Group,Legal,53,0
C100469,Beta Holdings,Accounting,68,1
C100470,Rimu Ltd,Software,1,0
C100471,Alpha Co.,Education,75,0
C100472,Wenita Partners,Manufacturing,42,0
C100473,Alpha Group,Education,1,0
C100474,Harbour Limited,Software,59,0
C100475,Summit Alpha Partners,Education,1,0
C100476,Wenita Holdings,Software,1,0
C100477,Wenita Holdings,Healthcare,84,1
C100478,Rimu Partners,Accounting,26,0
C100479,Wenita Trust,Construction,24,0
C100480,Harbour Services,Accounting,41,0
C100481,Rimu Duncan Air Co.,Legal,22,0
C100482,Nimbus Limited,Healthcare,5,0
C100483,Atlas Kauri Holdings,Manufacturing,2,0
C100484,Eurotec Co.,Legal,15,1
C100485,Eurotec Eurotec Limited,Healthcare,46,0
C100486,Kea Co.,Construction,1,0
C100487,Tui Limited,Construction,7,0
C100488,Ohomairangi Ltd,Education,38,0
C100489,Kea Harbour Ltd,Manufacturing,2,0
C100490,Alpha Co.,Software,1,0
C100491,Eurotec Kauri Limited,Accounting,11,1
C100492,Rimu Group,Education,37,0
C100493,Nimbus Trust,Construction,1,1
C100494,Duncan Air Atlas Services,Healthcare,73,0
C100495,Summit Alpha Group,Retail,56,0
C100496,Alpha Co.,Retail,34,0
C100497,Duncan Air Kauri Ltd,Education,43,0
C100498,Duncan Air Services,Accounting,50,0
C100499,Eurotec Holdings,Accounting,40,0
C100500,Kea Services,Software,3,0
C100501,Alpha Kea Holdings,Accounting,57,0
C100502,Alpha Services,Legal,37,0
C100503,Atlas Rimu Trust,Accounting,1,0
C100504,Nimbus Co.,Legal,110,0
C100505,Kea Eurotec Partners,Accounting,1,0
C100506,Nimbus Group,Education,53,0
C100507,Kauri Services,Accounting,1,0
C100508,Rimu Alpha Services,Accounting,4,0
C100509,Kauri Partners,Accounting,61,1
C100510,Duncan Air Group,Construction,58,0
C100511,Atlas Co.,Construction,1,0
C100512,Kauri Co.,Software,14,0
C100513,Duncan Air Partners,Education,10,0
C100514,Harbour Trust,Manufacturing,58,0
C100515,Harbour Ltd,Healthcare,59,0
C100516,Nimbus Holdings,Construction,40,0
C100517,Kea Kauri Limited,Legal,18,0
C100518,Rimu Wenita Limited,Legal,24,1
C100519,Wenita Co.,Healthcare,39,0
C100520,Harbour Partners,Retail,52,0
C100521,Atlas Holdings,Healthcare,45,0
C100522,Alpha Trust,Accounting,1,1
C100523,Harbour Kauri Limited,Construction,92,0
C100524,Duncan Air Services,Accounting,1,0
C100525,Alpha Limited,Legal,43,0
C100526,Wenita Pivot Trust,Manufacturing,21,0
C100527,Summit Group,Accounting,37,0
C100528,Tui Services,Education,41,0
C100529,Summit Limited,Manufacturing,36,0
C100530,Duncan Air Trust,Construction,6,0
C100531,Kauri Services,Accounting,1,0
C100532,Rimu Trust,Accounting,51,0
C100533,Eurotec Co.,Education,62,0
C100534,Ohomairangi Co.,Software,5,0
C100535,Ohomairangi Ltd,Healthcare,15,0
C100536,Kauri Group,Education,30,0
C100537,Harbour Holdings,Healthcare,10,0
C100538,Duncan Air Wenita Limited,Construction,1,0
C100539,Summit Duncan Air Ltd,Retail,44,0
C100540,Nimbus Nimbus Limited,Construction,12,0
C100541,Kea Co.,Manufacturing,19,0
C100542,Nimbus Services,Accounting,39,0
C100543,Harbour Ltd,Retail,51,0
C100544,Rimu Ltd,Software,81,1
C100545,Tui Trust,Manufacturing,1,0
C100546,Atlas Limited,Education,78,0
C100547,Tui Co.,Construction,85,0
C100548,Ohomairangi Harbour Services,Legal,40,0
C100549,Pivot Co.,Healthcare,1,0
C100550,Nimbus Ltd,Healthcare,44,0
C100551,Summit Alpha Partners,Education,78,0
C100552,Pivot Co.,Construction,15,0
C100553,Ohomairangi Services,Legal,4,0
C100554,Tui Limited,Manufacturing,34,0
C100555,Rimu Holdings,Education,26,0
C100556,Harbour Pivot Ltd,Accounting,9,0
C100557,Rimu Trust,Manufacturing,27,0
C100558,Tui Co.,Retail,44,0
C100559,Pivot Co.,Construction,1,1
C100560,Ohomairangi Partners,Manufacturing,20,1
C100561,Atlas Partners,Manufacturing,38,0
C100562,Duncan Air Trust,Education,55,0
C100563,Eurotec Co.,Legal,66,0
C100564,Atlas Services,Manufacturing,23,0
C100565,Wenita Nimbus Holdings,Legal,56,0
C100566,Pivot Atlas Services,Legal,1,0
C100567,Kauri Trust,Construction,22,0
C100568,Wenita Group,Legal,12,0
C100569,Harbour Partners,Legal,7,0
C100570,Ohomairangi Beta Services,Accounting,51,0
C100571,Duncan Air Rimu Limited,Retail,1,0
C100572,Ohomairangi Group,Healthcare,52,0
C100573,Summit Group,Legal,23,0
C100574,Beta Summit Partners,Healthcare,20,0
C100575,Eurotec Kauri Group,Software,34,0
C100576,Kauri Co.,Retail,1,0
C100577,Rimu Wenita Partners,Accounting,69,0
C100578,Pivot Holdings,Accounting,6,0
C100579,Kea Trust,Healthcare,1,0
C100580,Tui Group,Construction,36,0
C100581,Nimbus Partners,Retail,2,0
C100582,Kea Services,Legal,25,0
C100583,Alpha Holdings,Education,6,0
C100584,Wenita Alpha Group,Construction,1,1
C100585,Tui Ltd,Accounting,57,0
C100586,Alpha Ltd,Construction,1,0
C100587,Kauri Holdings,Accounting,39,0
C100588,Atlas Trust,Healthcare,1,0
C100589,Tui Limited,Construction,56,0
C100590,Eurotec Trust,Education,5,0
C100591,Duncan Air Holdings,Software,48,0
C100592,Atlas Beta Limited,Software,32,0
C100593,Beta Trust,Education,35,0
C100594,Tui Services,Accounting,40,1
C100595,Eurotec Atlas Partners,Retail,35,0
C100596,Eurotec Duncan Air Ltd,Accounting,51,0
C100597,Summit Trust,Construction,1,0
C100598,Beta Co.,Retail,48,0
C100599,Eurotec Co.,Healthcare,19,0
C100600,Alpha Group,Construction,1,0
C100601,Kauri Co.,Legal,45,0
C100602,Duncan Air Group,Software,37,0
C100603,Tui Atlas Partners,Accounting,17,0
C100604,Eurotec Holdings,Legal,1,0
C100605,Wenita Holdings,Software,19,0
C100606,Harbour Group,Accounting,94,0
C100607,Summit Group,Construction,30,0
C100608,Kea Trust,Accounting,1,0
C100609,Beta Services,Software,23,0
C100610,Ohomairangi Services,Software,1,0
C100611,Harbour Harbour Ltd,Accounting,102,0
C100612,Nimbus Trust,Education,6,0
C100613,Ohomairangi Holdings,Software,1,0
C100614,Nimbus Services,Legal,21,0
C100615,Kea Kea Trust,Legal,10,0
C100616,Kauri Summit Group,Retail,57,0
C100617,Harbour Holdings,Software,50,0
C100618,Kea Beta Co.,Accounting,76,0
C100619,Summit Services,Healthcare,1,0
C100620,Wenita Alpha Co.,Software,71,0
C100621,Kauri Group,Construction,1,0
C100622,Duncan Air Partners,Retail,1,0
C100623,Harbour Kea Trust,Software,45,0
C100624,Nimbus Wenita Trust,Legal,8,0
C100625,Nimbus Wenita Trust,Legal,1,0
C100626,Wenita Atlas Group,Legal,12,0
C100627,Atlas Co.,Manufacturing,1,0
C100628,Alpha Limited,Accounting,17,1
C100629,Eurotec Kauri Trust,Manufacturing,31,0
C100630,Eurotec Tui Holdings,Accounting,4,0
C100631,Pivot Holdings,Retail,50,0
C100632,Eurotec Trust,Accounting,51,0
C100633,Kea Ltd,Accounting,11,0
C100634,Ohomairangi Eurotec Services,Education,64,0
C100635,Pivot Holdings,Education,1,0
C100636,Atlas Beta Group,Healthcare,23,1
C100637,Tui Kauri Group,Manufacturing,9,1
C100638,Duncan Air Group,Accounting,40,1
