deal_id,company_id,deal_created_date,deal_close_date,status,product_code,product_name,channel,owner,deal_mrr,reopened_flag
D200040,C104976,2024-10-14,2024-12-30,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,1244,0
D200041,C100885,2024-11-21,2024-11-23,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,2962,0
D200042,C101765,2024-02-01,,Open,ADD_ON_TKR,TKR Add-on,Partners,dt,1167,0
D200043,C101401,2024-09-06,2024-11-22,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,shao,1039,0
D200044,C103062,2024-12-11,2025-01-26,Closed Lost,PM,People Management,Direct,shao,643,0
D200045,C102546,2025-06-15,,Open,PAYROLL_MPS,Managed Payroll,Partners,mkoenen,3189,0
D200046,C103247,2024-07-16,2024-08-16,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,790,0
D200047,C103528,2025-05-06,,Open,PM,People Management,Direct,mkoenen,1471,0
D200048,C100865,2025-04-13,2025-05-05,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,760,0
D200049,C100651,2025-01-13,2025-03-24,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,1792,0
D200050,C100835,2024-11-10,2024-11-14,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,awong,1382,0
D200051,C102208,2025-01-23,,Open,PM,People Management,Direct,unassigned,1787,0
D200052,C101896,2025-05-26,2025-06-30,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,1271,0
D200053,C103360,2025-03-10,2025-04-09,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,1223,0
D200054,C101806,2025-06-19,2025-09-03,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,1448,0
D200055,C104344,2024-08-25,2024-11-18,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,0,0
D200056,C104952,2024-03-28,2024-05-14,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,2248,0
D200057,C104322,2024-09-14,2024-10-09,Closed Lost,ADD_ON_TKR,TKR Add-on,Partners,,37,0
D200058,C102709,2024-12-09,,Open,PAYROLL_DIY,Payroll DIY,Partners,shao,1472,0
D200059,C101132,2024-03-27,,Open,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,1448,0
D200060,C100919,2025-02-28,,Open,PAYROLL_DIY,Payroll DIY,Partners,shao,1414,0
D200061,C101918,2024-11-16,2025-01-08,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,shao,2736,0
D200062,C100746,2024-02-17,2024-04-14,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dt,1286,0
D200063,C100613,2024-09-02,2024-10-07,Closed Won,PM,People Management,Partners,awong,434,0
D200064,C102008,2024-11-16,2024-12-06,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,2249,0
D200065,C104544,2024-05-07,2024-05-14,Closed Lost,PAYROLL_MPS,Managed Payroll,Partners,dinkster,4548,0
D200066,C100678,2024-12-15,2025-01-01,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,-1509,0
D200067,C100989,2024-04-28,,Open,PAYROLL_DIY,Payroll DIY,Direct,dinkster,1603,0
D200068,C100844,2025-05-31,2025-08-13,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,1124,0
D200069,C104477,2024-12-10,,Open,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,2458,0
D200070,C104059,2025-04-14,2025-06-14,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,2116,0
D200071,C104510,2024-06-16,,Open,ADD_ON_TKR,TKR Add-on,Partners,dt,895,0
D200072,C100159,2024-05-31,2024-07-17,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dt,5860,0
D200073,C100888,2024-01-02,,Open,PAYROLL_MPS,Managed Payroll,Partners,awong,4895,0
D200074,C100382,2024-09-08,2024-09-16,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dt,1022,0
D200075,C104217,2024-08-28,2024-10-02,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,mkoenen,651,0
D200076,C103357,2024-12-21,2025-02-20,Closed Won,PM,People Management,Partners,dinkster,660,0
D200077,C101312,2025-05-29,2025-08-13,Closed Won,PM,People Management,Partners,mkoenen_tmp,1466,0
D200078,C101084,2024-06-01,2024-07-27,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,5042,0
D200079,C101407,2025-01-15,,Open,PAYROLL_MPS,Managed Payroll,Direct,awong,8167,0
D200080,C102112,2024-02-10,2024-03-11,Closed Lost,PM,People Management,Direct,mkoenen,1599,0
D200081,C101025,2024-12-16,2025-01-11,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,awong,1159,0
D200082,C103343,2024-08-01,2024-10-04,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,shao,433,0
D200083,C101891,2025-04-21,2025-05-20,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,shao,723,0
D200084,C103862,2024-02-24,2024-05-23,Closed Won,PM,People Management,Direct,unassigned,2166,0
D200085,C101610,2024-05-06,2024-07-14,Closed Lost,PAYROLL_MPS,Managed Payroll,Partners,dinkster,4934,0
D200086,C103988,2024-01-13,2024-02-11,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,331,0
D200087,C104680,2025-01-29,2025-04-23,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,323,0
D200088,C103011,2025-05-16,2025-07-25,Closed Lost,PAYROLL_MPS,Managed Payroll,Partners,dt,5601,0
D200089,C101623,2025-03-14,2025-04-30,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,unassigned,4468,0
D200090,C101810,2025-04-12,2025-06-29,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1037,0
D200091,C104764,2025-03-06,,Open,PM,People Management,Direct,unassigned,1251,0
D200092,C103558,2025-06-20,2025-09-14,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,784,0
D200093,C104357,2025-03-14,2025-05-25,Closed Won,PM,People Management,Direct,,1224,0
D200094,C101383,2024-06-05,2024-07-21,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,615,0
D200095,C104886,2024-10-22,2025-01-02,Closed Won,PM,People Management,Partners,unassigned,643,0
D200096,C103849,2024-02-29,2024-03-28,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,1029,0
D200097,C103080,2024-08-14,2024-09-05,Closed Lost,PM,People Management,Partners,unassigned,365,0
D200098,C101675,2024-10-18,,Open,ADD_ON_TKR,TKR Add-on,Partners,dt,443,0
D200099,C100273,2024-01-11,2024-03-18,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,978,0
D200100,C103386,2024-11-12,2025-01-09,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,5053,0
D200101,C100190,2024-07-21,2024-09-13,Closed Won,PM,People Management,Partners,unassigned,1102,0
D200102,C102227,2025-03-04,2025-05-17,Closed Won,PM,People Management,Partners,mkoenen,1932,0
D200103,C102667,2024-05-13,2024-07-26,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,1579,0
D200104,C102481,2025-04-05,2025-06-20,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dinkster,7941,0
D200105,C103236,2024-06-10,2024-06-18,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,awong,5246,0
D200106,C102297,2025-02-06,,Open,PAYROLL_MPS,Managed Payroll,Partners,shao,2579,0
D200107,C100918,2024-07-10,,Open,PM,People Management,Partners,awong,1771,0
D200108,C100368,2024-08-02,2024-09-11,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,681,0
D200109,C103525,2024-05-05,2024-05-16,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,shao,727,0
D200110,C104706,2025-02-18,2025-04-04,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1524,0
D200111,C101815,2024-08-08,2024-08-25,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,997,0
D200112,C100212,2024-06-20,2024-08-21,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,awong,7953,0
D200113,C100775,2024-04-04,,Open,PAYROLL_DIY,Payroll DIY,Partners,unassigned,2539,0
D200114,C104738,2024-04-28,2024-06-19,Closed Won,PM,People Management,Direct,dinkster,735,0
D200115,C104360,2025-03-24,2025-05-19,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,,221,0
D200116,C101671,2024-06-15,,Open,PM,People Management,Direct,mkoenen,997,0
D200117,C101150,2024-03-17,,Open,PM,People Management,Partners,shao,1052,0
D200118,C102172,2024-02-12,2024-03-11,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,665,0
D200119,C103183,2025-02-13,2025-05-13,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,unassigned,5189,0
D200120,C103035,2024-03-16,2024-05-18,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,1959,0
D200121,C101884,2024-08-14,2024-09-07,Closed Won,PM,People Management,Partners,dt,1010,0
D200122,C103515,2024-06-03,2024-07-10,Closed Won,PM,People Management,Partners,dt,283,0
D200123,C103169,2024-04-20,2024-06-11,Closed Lost,PAYROLL_DIY,Payroll DIY,Partners,dinkster,729,0
D200124,C101778,2025-03-08,2025-03-24,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,835,0
D200125,C104432,2024-03-18,2024-05-21,Closed Lost,PAYROLL_DIY,Payroll DIY,Partners,awong,1117,0
D200126,C102667,2024-09-26,2024-11-11,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,1696,0
D200127,C103741,2024-09-25,2024-11-20,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,263,0
D200128,C101172,2024-01-17,2024-03-03,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,543,0
D200129,C100701,2024-12-19,2025-01-01,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,300,0
D200130,C103074,2025-06-15,2025-06-17,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,3386,0
D200131,C103268,2025-03-21,2025-04-15,Closed Won,PM,People Management,Direct,dinkster,1397,0
D200132,C103383,2025-05-09,2025-05-25,Closed Lost,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,193,0
D200133,C102981,2025-05-24,,Open,PAYROLL_MPS,Managed Payroll,Direct,unassigned,4378,0
D200134,C102786,2024-06-04,2024-07-24,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dt,2205,0
D200135,C102965,2024-02-27,2024-03-18,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,1140,0
D200136,C102229,2025-01-15,,Open,PAYROLL_DIY,Payroll DIY,Partners,dt,1678,0
D200137,C101012,2024-01-07,2024-01-26,Closed Lost,PM,People Management,Partners,unassigned,1531,0
D200138,C100615,2024-10-14,,Open,ADD_ON_TKR,TKR Add-on,Direct,dinkster,1052,0
D200139,C104847,2024-06-03,2024-07-12,Closed Lost,PAYROLL_DIY,Payroll DIY,Direct,awong,3435,0
D200140,C101777,2025-05-18,2025-07-30,Closed Lost,PAYROLL_DIY,Payroll DIY,Direct,,1428,0
D200141,C103345,2024-12-18,,Open,ADD_ON_TKR,TKR Add-on,Direct,unassigned,443,0
D200142,C102841,2024-05-10,2024-08-08,Closed Won,PM,People Management,Direct,shao,1352,0
D200143,C102637,2024-07-26,2024-08-04,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,596,0
D200144,C104319,2024-07-10,2024-09-09,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster,2708,0
D200145,C104056,2024-11-02,2025-01-31,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1067,0
D200146,C101762,2025-02-03,2025-04-22,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,dinkster,3453,0
D200147,C102421,2024-03-25,2024-04-28,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,unassigned,4770,0
D200148,C101166,2025-01-26,,Open,PM,People Management,Partners,dinkster,2170,0
D200149,C101003,2025-01-06,2025-02-07,Closed Won,PM,People Management,Partners,shao,1649,0
D200150,C101687,2024-11-05,2024-12-14,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,1047,0
D200151,C100756,2025-05-02,2025-05-09,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster,1127,0
D200152,C101798,2025-06-11,2025-07-18,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,1959,0
D200153,C100112,2024-10-23,2025-01-19,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,3011,0
D200154,C103795,2024-11-13,2025-01-16,Closed Won,PM,People Management,Direct,,0,1
D200155,C103680,2025-01-21,,Open,PAYROLL_MPS,Managed Payroll,Direct,dt,8125,0
D200156,C104413,2024-05-10,2024-06-07,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,407,0
D200157,C100090,2024-11-02,2024-12-19,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,unassigned,954,0
D200158,C100265,2024-10-06,2024-11-05,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,2026,0
D200159,C104607,2024-04-03,2024-06-09,Closed Won,PM,People Management,Partners,dinkster,1725,0
D200160,C101925,2025-04-23,2025-05-05,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,dinkster,859,0
D200161,C100681,2025-02-24,2025-05-10,Closed Lost,PM,People Management,Partners,unassigned,1776,0
D200162,C102113,2024-06-19,2024-07-21,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,awong,1012,0
D200163,C103778,2025-03-13,2025-05-13,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dt,1373,0
D200164,C100731,2025-05-12,2025-07-28,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,shao,2921,0
D200165,C104025,2024-05-13,2024-07-30,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,1966,0
D200166,C100870,2024-12-08,2024-12-09,Closed Won,PM,People Management,Partners,shao,1194,0
D200167,C100104,2024-03-30,2024-06-06,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,1355,0
D200168,C102554,2024-04-01,2024-06-02,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,1920,0
D200169,C103230,2024-05-01,2024-05-25,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,6317,0
D200170,C104649,2025-03-25,,Open,PM,People Management,Partners,dt,1682,0
D200171,C101601,2024-06-09,,Open,ADD_ON_TKR,TKR Add-on,Partners,awong,321,0
D200172,C103821,2025-05-26,2025-06-19,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,190,0
D200173,C100514,2024-02-05,,Open,PM,People Management,Partners,shao,1151,0
D200174,C104842,2024-10-27,,Open,PAYROLL_MPS,Managed Payroll,Partners,dinkster,4891,0
D200175,C103475,2024-12-25,2025-01-28,Closed Lost,PM,People Management,Partners,unassigned,1549,0
D200176,C102171,2025-03-29,2025-05-13,Closed Lost,PM,People Management,Direct,dinkster,1767,0
D200177,C100192,2025-01-08,2025-03-13,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dt,1905,0
D200178,C101859,2024-09-21,2024-09-25,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dinkster,9591,0
D200179,C101627,2025-06-30,2025-08-21,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,unassigned,5317,0
D200180,C100351,2024-10-10,,Open,PAYROLL_DIY,Payroll DIY,Partners,shao,2035,0
D200181,C103164,2024-08-11,2024-09-13,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,1118,0
D200182,C104366,2025-04-07,2025-06-02,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,dinkster,3209,0
D200183,C103228,2025-03-18,2025-04-19,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,2876,0
D200184,C102749,2024-05-30,,Open,PM,People Management,Direct,awong,755,0
D200185,C104885,2024-12-01,2025-01-09,Closed Won,PM,People Management,Partners,mkoenen,736,0
D200186,C100177,2025-03-13,2025-04-15,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,mkoenen,3548,0
D200187,C102817,2024-07-06,2024-07-30,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,364,0
D200188,C100697,2024-05-02,,Open,PAYROLL_MPS,Managed Payroll,Direct,unassigned,4399,0
D200189,C102981,2025-06-17,,Open,PAYROLL_DIY,Payroll DIY,Direct,shao,2225,0
D200190,C104137,2024-01-12,2024-01-21,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,2096,0
D200191,C104406,2024-11-04,2024-12-09,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,shao,2695,0
D200192,C102691,2024-10-18,2024-10-19,Closed Lost,PM,People Management,Partners,dt,1279,0
D200193,C104145,2024-09-07,,Open,ADD_ON_TKR,TKR Add-on,Partners,shao,820,0
D200194,C104117,2024-09-30,,Open,PM,People Management,Direct,dt,804,0
D200195,C101525,2024-02-04,2024-03-23,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1403,0
D200196,C102962,2024-06-11,2024-09-03,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dt,1314,0
D200197,C102014,2025-01-01,,Open,ADD_ON_TKR,TKR Add-on,Partners,dinkster,952,0
D200198,C104859,2024-04-30,,Open,PM,People Management,Direct,shao,1355,0
D200199,C102926,2024-08-08,2024-09-19,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,2184,0
D200200,C103149,2025-06-13,2025-06-21,Closed Won,PM,People Management,Direct,unassigned,2488,0
D200201,C101781,2025-06-12,2025-08-14,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,623,0
D200202,C102682,2024-08-30,2024-09-13,Closed Won,PM,People Management,Direct,dt,756,0
D200203,C101077,2024-12-29,,Open,PAYROLL_DIY,Payroll DIY,Partners,shao,420,0
D200204,C104324,2025-06-22,2025-07-03,Closed Lost,PM,People Management,Partners,dt,417,0
D200205,C102689,2024-11-06,2025-01-10,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,756,0
D200206,C102307,2024-04-27,,Open,PM,People Management,Direct,dt,975,0
D200207,C100219,2025-03-30,,Open,ADD_ON_TKR,TKR Add-on,Partners,dinkster,1413,0
D200208,C103016,2024-12-06,2024-12-16,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,unassigned,1329,0
D200209,C102224,2025-01-16,2025-02-09,Closed Lost,PM,People Management,Partners,unassigned,1772,0
D200210,C104807,2024-09-11,2024-11-11,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,mkoenen,1382,0
D200211,C103408,2025-04-17,,Open,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,2548,0
D200212,C104002,2024-04-30,2024-06-16,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,awong,2709,0
D200213,C101268,2024-06-05,2024-08-31,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,931,0
D200214,C101654,2024-10-09,2024-12-30,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,305,0
D200215,C102978,2025-03-21,,Open,PAYROLL_DIY,Payroll DIY,Partners,dt,1254,0
D200216,C103962,2025-02-28,2025-03-07,Closed Won,PM,People Management,Direct,dinkster,1794,0
D200217,C103880,2024-03-31,2024-05-13,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,shao,1057,0
D200218,C103143,2024-02-17,,Open,PAYROLL_MPS,Managed Payroll,Direct,unassigned,0,0
D200219,C102869,2024-01-26,,Open,PAYROLL_DIY,Payroll DIY,Partners,dinkster,738,0
D200220,C103026,2024-07-28,2024-08-18,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,awong,545,0
D200221,C104094,2024-02-13,2024-02-14,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,1057,0
D200222,C104327,2024-10-31,2024-12-28,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,3168,0
D200223,C102449,2025-06-08,2025-07-02,Closed Lost,PM,People Management,Direct,unassigned,364,0
D200224,C103383,2024-11-10,2024-11-14,Closed Won,PM,People Management,Partners,unassigned,1295,0
D200225,C104865,2024-12-01,2025-02-27,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,125,0
D200226,C102506,2024-09-20,2024-12-08,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,4961,0
D200227,C101250,2025-01-22,,Open,PAYROLL_DIY,Payroll DIY,Partners,dinkster,945,0
D200228,C104254,2024-03-06,,Open,PAYROLL_DIY,Payroll DIY,Direct,shao,1868,0
D200229,C101117,2024-09-29,2024-12-01,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,awong,7808,0
D200230,C103168,2024-03-06,2024-04-28,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,581,0
D200231,C104785,2025-01-29,2025-03-12,Closed Lost,ADD_ON_TKR,TKR Add-on,Partners,unassigned,1218,0
D200232,C103771,2025-05-29,2025-08-24,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,2410,0
D200233,C102092,2024-09-27,2024-11-20,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,5752,0
D200234,C102058,2024-09-16,2024-09-24,Closed Won,PM,People Management,Direct,awong,579,0
D200235,C102668,2024-03-25,2024-04-06,Closed Lost,PM,People Management,Direct,dinkster,1431,0
D200236,C104483,2024-11-23,2024-12-05,Closed Won,PM,People Management,Direct,shao,0,0
D200237,C101525,2025-05-16,2025-08-13,Closed Lost,PAYROLL_DIY,Payroll DIY,Partners,shao,0,0
D200238,C104140,2024-03-20,2024-05-22,Closed Lost,PAYROLL_DIY,Payroll DIY,Direct,dinkster,978,0
D200239,C102420,2025-02-20,2025-05-08,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,shao,1650,0
D200240,C100926,2024-10-23,2024-12-27,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster_tmp,811,0
D200241,C103507,2024-03-19,2024-04-08,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,4542,0
D200242,C100903,2024-10-16,,Open,PAYROLL_MPS,Managed Payroll,Direct,awong,5399,0
D200243,C103481,2025-02-25,2025-03-03,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,shao,5418,0
D200244,C101192,2024-09-13,2024-10-26,Closed Won,PM,People Management,Direct,mkoenen,1621,0
D200245,C103724,2024-11-17,2024-11-18,Closed Won,PM,People Management,Partners,dt,0,0
D200246,C100581,2024-07-01,2024-09-06,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,mkoenen,2687,0
D200247,C101881,2024-08-24,2024-10-11,Closed Won,PM,People Management,Partners,unassigned,0,0
D200248,C100459,2025-03-28,2025-04-22,Closed Lost,PAYROLL_MPS,Managed Payroll,Direct,unassigned,3917,0
D200249,C102738,2024-12-04,2025-02-16,Closed Lost,PAYROLL_DIY,Payroll DIY,Direct,unassigned,2695,0
D200250,C102645,2024-11-08,2024-11-13,Closed Won,PM,People Management,Direct,awong,756,0
D200251,C101950,2024-01-07,2024-02-24,Closed Won,PM,People Management,Direct,mkoenen,1560,0
